epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00955;00:00:14;0.84314;0.89888;[[1585, 303], [297, 1640]];0.84536;0.84406;0.84667
1;0.00218;00:00:14;0.96575;0.99268;[[1802, 82], [49, 1892]];0.96654;0.95846;0.97476
2;0.00098;00:00:14;0.98797;0.99778;[[1884, 32], [14, 1895]];0.98801;0.98339;0.99267
3;0.00095;00:00:14;0.98719;0.99809;[[1928, 27], [22, 1848]];0.98692;0.98560;0.98824
4;0.00072;00:00:14;0.99059;0.99907;[[1907, 22], [14, 1882]];0.99053;0.98845;0.99262
5;0.00116;00:00:15;0.97856;0.99798;[[1898, 46], [36, 1845]];0.97826;0.97567;0.98086
6;0.00201;00:00:15;0.96654;0.99401;[[1803, 73], [55, 1894]];0.96731;0.96289;0.97178
7;0.00172;00:00:14;0.96993;0.99567;[[1888, 57], [58, 1822]];0.96941;0.96966;0.96915
8;0.00058;00:00:14;0.99346;0.99971;[[1969, 11], [14, 1831]];0.99322;0.99403;0.99241
9;0.00029;00:00:15;0.99712;0.99987;[[1885, 9], [2, 1929]];0.99716;0.99536;0.99896
10;0.00015;00:00:14;0.99974;1.00000;[[1919, 1], [0, 1905]];0.99974;0.99948;1.00000
11;0.00009;00:00:15;1.00000;1.00000;[[1938, 0], [0, 1887]];1.00000;1.00000;1.00000
12;0.00006;00:00:14;1.00000;1.00000;[[1903, 0], [0, 1922]];1.00000;1.00000;1.00000
13;0.00005;00:00:14;1.00000;1.00000;[[1921, 0], [0, 1904]];1.00000;1.00000;1.00000
14;0.00005;00:00:15;1.00000;1.00000;[[1877, 0], [0, 1948]];1.00000;1.00000;1.00000
15;0.00005;00:00:15;1.00000;1.00000;[[1935, 0], [0, 1890]];1.00000;1.00000;1.00000
16;0.00006;00:00:15;0.99948;1.00000;[[1889, 2], [0, 1934]];0.99948;0.99897;1.00000
17;0.00006;00:00:14;0.99974;1.00000;[[1930, 1], [0, 1894]];0.99974;0.99947;1.00000
18;0.00005;00:00:15;1.00000;1.00000;[[1916, 0], [0, 1909]];1.00000;1.00000;1.00000
19;0.00005;00:00:16;1.00000;1.00000;[[1879, 0], [0, 1946]];1.00000;1.00000;1.00000
20;0.00004;00:00:15;1.00000;1.00000;[[1928, 0], [0, 1897]];1.00000;1.00000;1.00000
21;0.00004;00:00:15;1.00000;1.00000;[[1890, 0], [0, 1935]];1.00000;1.00000;1.00000
22;0.00004;00:00:15;1.00000;1.00000;[[1874, 0], [0, 1951]];1.00000;1.00000;1.00000
23;0.00005;00:00:15;0.99974;1.00000;[[1898, 1], [0, 1926]];0.99974;0.99948;1.00000
24;0.00004;00:00:15;1.00000;1.00000;[[1859, 0], [0, 1966]];1.00000;1.00000;1.00000
25;0.00004;00:00:15;1.00000;1.00000;[[1904, 0], [0, 1921]];1.00000;1.00000;1.00000
26;0.00004;00:00:15;1.00000;1.00000;[[1885, 0], [0, 1940]];1.00000;1.00000;1.00000
27;0.00004;00:00:15;1.00000;1.00000;[[1909, 0], [0, 1916]];1.00000;1.00000;1.00000
28;0.00004;00:00:15;1.00000;1.00000;[[1876, 0], [0, 1949]];1.00000;1.00000;1.00000
29;0.00005;00:00:14;1.00000;1.00000;[[1935, 0], [0, 1890]];1.00000;1.00000;1.00000
