epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00765;00:01:11;0.85860;0.92385;[[6955, 1239], [1084, 7151]];0.86027;0.85232;0.86837
1;0.00421;00:01:11;0.92379;0.97435;[[7635, 696], [556, 7542]];0.92336;0.91551;0.93134
2;0.00290;00:01:10;0.95039;0.98726;[[7742, 446], [369, 7872]];0.95078;0.94638;0.95522
3;0.00218;00:01:11;0.96470;0.99259;[[7857, 321], [259, 7992]];0.96498;0.96139;0.96861
4;0.00183;00:01:11;0.96987;0.99457;[[7941, 266], [229, 7993]];0.96997;0.96779;0.97215
5;0.00134;00:01:10;0.97815;0.99710;[[8003, 187], [172, 8067]];0.97823;0.97734;0.97912
6;0.00158;00:01:09;0.97224;0.99623;[[7934, 239], [217, 8039]];0.97242;0.97113;0.97372
7;0.00064;00:01:09;0.99020;0.99939;[[8111, 94], [67, 8157]];0.99023;0.98861;0.99185
8;0.00027;00:01:10;0.99708;0.99992;[[8209, 31], [17, 8172]];0.99707;0.99622;0.99792
9;0.00014;00:01:08;0.99909;0.99996;[[8233, 12], [3, 8181]];0.99908;0.99854;0.99963
10;0.00008;00:01:10;0.99951;1.00000;[[8132, 4], [4, 8289]];0.99952;0.99952;0.99952
11;0.00005;00:01:09;0.99976;1.00000;[[8200, 3], [1, 8225]];0.99976;0.99964;0.99988
12;0.00003;00:01:11;0.99994;1.00000;[[8061, 0], [1, 8367]];0.99994;1.00000;0.99988
13;0.00004;00:01:10;0.99988;1.00000;[[8159, 2], [0, 8268]];0.99988;0.99976;1.00000
14;0.00003;00:01:08;0.99976;1.00000;[[8140, 3], [1, 8285]];0.99976;0.99964;0.99988
15;0.00002;00:01:10;0.99994;1.00000;[[8203, 0], [1, 8225]];0.99994;1.00000;0.99988
16;0.00003;00:01:11;0.99988;1.00000;[[8308, 0], [2, 8119]];0.99988;1.00000;0.99975
17;0.00002;00:01:11;0.99988;1.00000;[[8221, 2], [0, 8206]];0.99988;0.99976;1.00000
18;0.00003;00:01:08;0.99994;0.99998;[[8122, 1], [0, 8306]];0.99994;0.99988;1.00000
19;0.00002;00:01:10;1.00000;1.00000;[[8264, 0], [0, 8165]];1.00000;1.00000;1.00000
20;0.00003;00:01:09;0.99982;1.00000;[[8220, 3], [0, 8206]];0.99982;0.99963;1.00000
21;0.00002;00:01:10;0.99982;1.00000;[[8170, 3], [0, 8256]];0.99982;0.99964;1.00000
22;0.00002;00:01:10;0.99994;1.00000;[[8248, 1], [0, 8180]];0.99994;0.99988;1.00000
23;0.00002;00:01:10;0.99994;1.00000;[[8360, 1], [0, 8068]];0.99994;0.99988;1.00000
24;0.00002;00:01:11;0.99994;1.00000;[[8209, 0], [1, 8219]];0.99994;1.00000;0.99988
25;0.00002;00:01:10;1.00000;1.00000;[[8211, 0], [0, 8218]];1.00000;1.00000;1.00000
26;0.00002;00:01:13;0.99988;1.00000;[[8220, 2], [0, 8207]];0.99988;0.99976;1.00000
27;0.00002;00:01:10;0.99994;1.00000;[[8160, 1], [0, 8268]];0.99994;0.99988;1.00000
28;0.00002;00:01:09;0.99994;1.00000;[[8150, 1], [0, 8278]];0.99994;0.99988;1.00000
29;0.00002;00:01:10;0.99994;1.00000;[[8084, 1], [0, 8344]];0.99994;0.99988;1.00000
