epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01376;00:00:15;0.72071;0.76746;[[1350, 579], [489, 1406]];0.72474;0.70831;0.74195
1;0.00621;00:00:14;0.87552;0.94784;[[1572, 282], [194, 1776]];0.88183;0.86297;0.90152
2;0.00459;00:00:15;0.91344;0.97073;[[1688, 181], [150, 1805]];0.91601;0.90886;0.92327
3;0.00340;00:00:15;0.93724;0.98390;[[1767, 135], [105, 1817]];0.93805;0.93084;0.94537
4;0.00308;00:00:14;0.94299;0.98638;[[1789, 115], [103, 1817]];0.94341;0.94048;0.94635
5;0.00208;00:00:15;0.96522;0.99340;[[1788, 72], [61, 1903]];0.96624;0.96354;0.96894
6;0.00193;00:00:16;0.96653;0.99460;[[1871, 64], [64, 1825]];0.96612;0.96612;0.96612
7;0.00103;00:00:15;0.98588;0.99823;[[1866, 41], [13, 1904]];0.98602;0.97892;0.99322
8;0.00057;00:00:15;0.99320;0.99929;[[1921, 15], [11, 1877]];0.99312;0.99207;0.99417
9;0.00031;00:00:15;0.99765;0.99995;[[1934, 6], [3, 1881]];0.99761;0.99682;0.99841
10;0.00020;00:00:15;0.99817;0.99999;[[1836, 5], [2, 1981]];0.99824;0.99748;0.99899
11;0.00015;00:00:15;0.99895;0.99995;[[1902, 4], [0, 1918]];0.99896;0.99792;1.00000
12;0.00008;00:00:15;1.00000;1.00000;[[1892, 0], [0, 1932]];1.00000;1.00000;1.00000
13;0.00007;00:00:15;1.00000;1.00000;[[1873, 0], [0, 1951]];1.00000;1.00000;1.00000
14;0.00009;00:00:15;0.99948;1.00000;[[1850, 1], [1, 1972]];0.99949;0.99949;0.99949
15;0.00008;00:00:14;0.99948;1.00000;[[1914, 1], [1, 1908]];0.99948;0.99948;0.99948
16;0.00008;00:00:15;0.99948;1.00000;[[1916, 2], [0, 1906]];0.99948;0.99895;1.00000
17;0.00007;00:00:15;1.00000;1.00000;[[1922, 0], [0, 1902]];1.00000;1.00000;1.00000
18;0.00007;00:00:15;0.99948;1.00000;[[1910, 1], [1, 1912]];0.99948;0.99948;0.99948
19;0.00006;00:00:15;1.00000;1.00000;[[1873, 0], [0, 1951]];1.00000;1.00000;1.00000
20;0.00009;00:00:15;0.99974;1.00000;[[1945, 0], [1, 1878]];0.99973;1.00000;0.99947
21;0.00006;00:00:15;1.00000;1.00000;[[1925, 0], [0, 1899]];1.00000;1.00000;1.00000
22;0.00007;00:00:15;1.00000;1.00000;[[1914, 0], [0, 1910]];1.00000;1.00000;1.00000
23;0.00005;00:00:15;1.00000;1.00000;[[1867, 0], [0, 1957]];1.00000;1.00000;1.00000
24;0.00006;00:00:15;1.00000;1.00000;[[1900, 0], [0, 1924]];1.00000;1.00000;1.00000
25;0.00007;00:00:15;1.00000;1.00000;[[1922, 0], [0, 1902]];1.00000;1.00000;1.00000
26;0.00007;00:00:15;0.99948;1.00000;[[1895, 2], [0, 1927]];0.99948;0.99896;1.00000
27;0.00006;00:00:15;0.99974;1.00000;[[1889, 0], [1, 1934]];0.99974;1.00000;0.99948
28;0.00008;00:00:15;0.99974;1.00000;[[1872, 1], [0, 1951]];0.99974;0.99949;1.00000
29;0.00006;00:00:15;1.00000;1.00000;[[1932, 0], [0, 1892]];1.00000;1.00000;1.00000
