epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00085;00:06:15;0.96611;0.99128;[[16234, 709], [440, 16522]];0.96640;0.95885;0.97406
1;0.00038;00:10:46;0.98413;0.99777;[[16528, 351], [187, 16839]];0.98428;0.97958;0.98902
2;0.00030;00:10:28;0.98791;0.99849;[[16721, 276], [134, 16774]];0.98793;0.98381;0.99207
3;0.00021;00:10:42;0.99218;0.99910;[[16594, 171], [94, 17046]];0.99229;0.99007;0.99452
4;0.00027;00:10:35;0.98832;0.99891;[[16738, 249], [147, 16771]];0.98833;0.98537;0.99131
5;0.00016;00:10:56;0.99360;0.99958;[[16561, 140], [77, 17127]];0.99370;0.99189;0.99552
6;0.00019;00:10:00;0.99210;0.99946;[[16797, 169], [99, 16840]];0.99211;0.99006;0.99416
7;0.00018;00:09:58;0.99233;0.99955;[[16717, 168], [92, 16928]];0.99238;0.99017;0.99459
8;0.00004;00:09:43;0.99867;0.99992;[[16935, 36], [9, 16925]];0.99867;0.99788;0.99947
9;0.00002;00:11:03;0.99947;0.99994;[[16946, 18], [0, 16941]];0.99947;0.99894;1.00000
10;0.00001;00:10:00;0.99968;0.99999;[[16844, 7], [4, 17050]];0.99968;0.99959;0.99977
11;0.00001;00:10:52;0.99979;0.99995;[[16789, 6], [1, 17109]];0.99980;0.99965;0.99994
12;0.00001;00:11:19;0.99985;1.00000;[[16837, 5], [0, 17063]];0.99985;0.99971;1.00000
13;0.00000;00:09:52;0.99997;1.00000;[[17002, 1], [0, 16902]];0.99997;0.99994;1.00000
14;0.00000;00:10:28;1.00000;1.00000;[[16732, 0], [0, 17173]];1.00000;1.00000;1.00000
15;0.00000;00:10:55;0.99997;1.00000;[[16957, 1], [0, 16947]];0.99997;0.99994;1.00000
16;0.00000;00:11:05;0.99994;1.00000;[[16706, 2], [0, 17197]];0.99994;0.99988;1.00000
17;0.00000;00:10:13;1.00000;1.00000;[[16963, 0], [0, 16942]];1.00000;1.00000;1.00000
18;0.00000;00:11:14;0.99997;1.00000;[[17081, 1], [0, 16823]];0.99997;0.99994;1.00000
19;0.00000;00:10:16;0.99997;1.00000;[[16921, 1], [0, 16983]];0.99997;0.99994;1.00000
20;0.00000;00:11:02;1.00000;1.00000;[[16985, 0], [0, 16920]];1.00000;1.00000;1.00000
21;0.00000;00:10:24;1.00000;1.00000;[[16825, 0], [0, 17080]];1.00000;1.00000;1.00000
22;0.00000;00:09:33;0.99997;1.00000;[[17002, 1], [0, 16902]];0.99997;0.99994;1.00000
23;0.00000;00:09:58;1.00000;1.00000;[[16927, 0], [0, 16978]];1.00000;1.00000;1.00000
24;0.00000;00:10:00;0.99997;1.00000;[[17033, 1], [0, 16871]];0.99997;0.99994;1.00000
25;0.00000;00:09:00;0.99997;1.00000;[[17028, 1], [0, 16876]];0.99997;0.99994;1.00000
26;0.00000;00:09:30;1.00000;1.00000;[[17010, 0], [0, 16895]];1.00000;1.00000;1.00000
27;0.00000;00:09:38;0.99997;1.00000;[[16961, 1], [0, 16943]];0.99997;0.99994;1.00000
28;0.00000;00:09:18;0.99997;1.00000;[[17028, 1], [0, 16876]];0.99997;0.99994;1.00000
29;0.00000;00:08:04;0.99994;1.00000;[[17019, 2], [0, 16884]];0.99994;0.99988;1.00000
