epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00930;00:01:09;0.82695;0.89240;[[6621, 1618], [1225, 6965]];0.83050;0.81149;0.85043
1;0.00506;00:01:10;0.90547;0.96340;[[7450, 894], [659, 7426]];0.90533;0.89255;0.91849
2;0.00345;00:01:09;0.94005;0.98246;[[7694, 551], [434, 7750]];0.94025;0.93362;0.94697
3;0.00292;00:01:09;0.95027;0.98699;[[7779, 453], [364, 7833]];0.95043;0.94533;0.95559
4;0.00234;00:01:10;0.95897;0.99161;[[7787, 390], [284, 7968]];0.95942;0.95334;0.96558
5;0.00168;00:01:09;0.97078;0.99561;[[7896, 271], [209, 8053]];0.97106;0.96744;0.97470
6;0.00154;00:01:09;0.97364;0.99633;[[7917, 227], [206, 8079]];0.97390;0.97267;0.97514
7;0.00072;00:01:10;0.99020;0.99898;[[8069, 87], [74, 8199]];0.99028;0.98950;0.99106
8;0.00028;00:01:11;0.99665;0.99987;[[8244, 34], [21, 8130]];0.99663;0.99584;0.99742
9;0.00019;00:01:10;0.99830;0.99980;[[8113, 22], [6, 8288]];0.99831;0.99735;0.99928
10;0.00008;00:01:11;0.99951;1.00000;[[8214, 6], [2, 8207]];0.99951;0.99927;0.99976
11;0.00007;00:01:10;0.99945;0.99999;[[8300, 6], [3, 8120]];0.99945;0.99926;0.99963
12;0.00004;00:01:13;0.99976;1.00000;[[8228, 3], [1, 8197]];0.99976;0.99963;0.99988
13;0.00004;00:01:12;0.99970;1.00000;[[8314, 1], [4, 8110]];0.99969;0.99988;0.99951
14;0.00004;00:01:09;0.99976;1.00000;[[8181, 4], [0, 8244]];0.99976;0.99952;1.00000
15;0.00003;00:01:11;0.99988;1.00000;[[8190, 2], [0, 8237]];0.99988;0.99976;1.00000
16;0.00003;00:01:11;0.99976;1.00000;[[8186, 2], [2, 8239]];0.99976;0.99976;0.99976
17;0.00002;00:01:11;0.99994;1.00000;[[8188, 0], [1, 8240]];0.99994;1.00000;0.99988
18;0.00002;00:01:09;1.00000;1.00000;[[8191, 0], [0, 8238]];1.00000;1.00000;1.00000
19;0.00002;00:01:10;0.99994;1.00000;[[8182, 1], [0, 8246]];0.99994;0.99988;1.00000
20;0.00002;00:01:09;1.00000;1.00000;[[8158, 0], [0, 8271]];1.00000;1.00000;1.00000
21;0.00002;00:01:09;1.00000;1.00000;[[8242, 0], [0, 8187]];1.00000;1.00000;1.00000
22;0.00002;00:01:09;1.00000;1.00000;[[8336, 0], [0, 8093]];1.00000;1.00000;1.00000
23;0.00002;00:01:09;0.99988;1.00000;[[8233, 2], [0, 8194]];0.99988;0.99976;1.00000
24;0.00002;00:01:11;0.99994;1.00000;[[8219, 1], [0, 8209]];0.99994;0.99988;1.00000
25;0.00002;00:01:12;1.00000;1.00000;[[8244, 0], [0, 8185]];1.00000;1.00000;1.00000
26;0.00002;00:01:09;1.00000;1.00000;[[8333, 0], [0, 8096]];1.00000;1.00000;1.00000
27;0.00002;00:01:09;1.00000;1.00000;[[8298, 0], [0, 8131]];1.00000;1.00000;1.00000
28;0.00002;00:01:11;1.00000;1.00000;[[8241, 0], [0, 8188]];1.00000;1.00000;1.00000
29;0.00002;00:01:11;0.99994;1.00000;[[8401, 0], [1, 8027]];0.99994;1.00000;0.99988
