epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00907;00:00:15;0.83473;0.89876;[[1574, 332], [300, 1618]];0.83661;0.82974;0.84359
1;0.00259;00:00:15;0.95659;0.99021;[[1820, 103], [63, 1838]];0.95679;0.94693;0.96686
2;0.00131;00:00:15;0.98248;0.99705;[[1877, 42], [25, 1880]];0.98249;0.97815;0.98688
3;0.00168;00:00:14;0.97019;0.99556;[[1870, 63], [51, 1840]];0.96995;0.96689;0.97303
4;0.00192;00:00:15;0.96444;0.99464;[[1799, 69], [67, 1889]];0.96525;0.96476;0.96575
5;0.00126;00:00:15;0.97934;0.99763;[[1854, 45], [34, 1891]];0.97954;0.97676;0.98234
6;0.00092;00:00:15;0.98431;0.99843;[[1837, 30], [30, 1927]];0.98467;0.98467;0.98467
7;0.00043;00:00:14;0.99372;0.99974;[[1869, 13], [11, 1931]];0.99382;0.99331;0.99434
8;0.00026;00:00:15;0.99660;0.99993;[[1909, 8], [5, 1902]];0.99659;0.99581;0.99738
9;0.00012;00:00:15;0.99895;0.99999;[[1916, 4], [0, 1904]];0.99895;0.99790;1.00000
10;0.00007;00:00:15;0.99974;1.00000;[[1901, 1], [0, 1922]];0.99974;0.99948;1.00000
11;0.00005;00:00:15;0.99974;1.00000;[[1955, 1], [0, 1868]];0.99973;0.99946;1.00000
12;0.00003;00:00:14;1.00000;1.00000;[[1892, 0], [0, 1932]];1.00000;1.00000;1.00000
13;0.00002;00:00:15;1.00000;1.00000;[[1926, 0], [0, 1898]];1.00000;1.00000;1.00000
14;0.00002;00:00:14;1.00000;1.00000;[[1920, 0], [0, 1904]];1.00000;1.00000;1.00000
15;0.00003;00:00:14;1.00000;1.00000;[[1901, 0], [0, 1923]];1.00000;1.00000;1.00000
16;0.00002;00:00:14;1.00000;1.00000;[[1894, 0], [0, 1930]];1.00000;1.00000;1.00000
17;0.00002;00:00:14;1.00000;1.00000;[[1869, 0], [0, 1955]];1.00000;1.00000;1.00000
18;0.00002;00:00:14;1.00000;1.00000;[[1854, 0], [0, 1970]];1.00000;1.00000;1.00000
19;0.00002;00:00:14;1.00000;1.00000;[[1878, 0], [0, 1946]];1.00000;1.00000;1.00000
20;0.00002;00:00:15;1.00000;1.00000;[[1896, 0], [0, 1928]];1.00000;1.00000;1.00000
21;0.00003;00:00:15;0.99974;1.00000;[[1908, 1], [0, 1915]];0.99974;0.99948;1.00000
22;0.00003;00:00:14;1.00000;1.00000;[[1896, 0], [0, 1928]];1.00000;1.00000;1.00000
23;0.00002;00:00:15;1.00000;1.00000;[[1917, 0], [0, 1907]];1.00000;1.00000;1.00000
24;0.00002;00:00:14;1.00000;1.00000;[[1937, 0], [0, 1887]];1.00000;1.00000;1.00000
25;0.00002;00:00:14;1.00000;1.00000;[[1911, 0], [0, 1913]];1.00000;1.00000;1.00000
26;0.00003;00:00:15;0.99974;1.00000;[[1899, 1], [0, 1924]];0.99974;0.99948;1.00000
27;0.00002;00:00:14;1.00000;1.00000;[[1888, 0], [0, 1936]];1.00000;1.00000;1.00000
28;0.00002;00:00:15;1.00000;1.00000;[[1952, 0], [0, 1872]];1.00000;1.00000;1.00000
29;0.00002;00:00:14;1.00000;1.00000;[[1955, 0], [0, 1869]];1.00000;1.00000;1.00000
