epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.05724;1733809183;0.66667;0.72618;[[104, 38], [66, 104]];0.66667;0.73239;0.61176
1;0.06177;1733809192;0.66667;0.69837;[[132, 35], [69, 76]];0.59375;0.68468;0.52414
2;0.05853;1733809203;0.64103;0.65339;[[131, 38], [74, 69]];0.55200;0.64486;0.48252
3;0.06724;1733809213;0.72756;0.74853;[[128, 25], [60, 99]];0.69965;0.79839;0.62264
4;0.06938;1733809221;0.68910;0.73078;[[129, 23], [74, 86]];0.63941;0.78899;0.53750
5;0.05793;1733809230;0.64423;0.69325;[[134, 17], [94, 67]];0.54694;0.79762;0.41615
6;0.06125;1733809240;0.68590;0.69308;[[161, 15], [83, 53]];0.51961;0.77941;0.38971
7;0.05765;1733809249;0.65385;0.72102;[[165, 6], [102, 39]];0.41935;0.86667;0.27660
8;0.05837;1733809257;0.67308;0.77704;[[152, 13], [89, 58]];0.53211;0.81690;0.39456
9;0.05948;1733809265;0.69872;0.74963;[[140, 10], [84, 78]];0.62400;0.88636;0.48148
10;0.05602;1733809275;0.64744;0.72509;[[138, 19], [91, 64]];0.53782;0.77108;0.41290
11;0.05633;1733809284;0.74038;0.86823;[[147, 18], [63, 84]];0.67470;0.82353;0.57143
12;0.06036;1733809292;0.75000;0.81083;[[140, 21], [57, 94]];0.70677;0.81739;0.62252
13;0.05814;1733809301;0.79808;0.82783;[[155, 12], [51, 94]];0.74900;0.88679;0.64828
14;0.06173;1733809310;0.81731;0.83857;[[138, 21], [36, 117]];0.80412;0.84783;0.76471
15;0.05912;1733809318;0.79487;0.82510;[[132, 18], [46, 116]];0.78378;0.86567;0.71605
16;0.05697;1733809327;0.80769;0.83186;[[129, 20], [40, 123]];0.80392;0.86014;0.75460
17;0.05819;1733809336;0.82372;0.83577;[[144, 21], [34, 113]];0.80427;0.84328;0.76871
18;0.05807;1733809344;0.83654;0.86363;[[134, 14], [37, 127]];0.83279;0.90071;0.77439
19;0.05858;1733809355;0.82372;0.85559;[[137, 16], [39, 120]];0.81356;0.88235;0.75472
20;0.05764;1733809363;0.84936;0.89325;[[151, 16], [31, 114]];0.82909;0.87692;0.78621
21;0.05796;1733809373;0.80769;0.84630;[[134, 15], [45, 118]];0.79730;0.88722;0.72393
22;0.05788;1733809382;0.82372;0.86318;[[133, 11], [44, 124]];0.81848;0.91852;0.73810
23;0.05726;1733809391;0.85256;0.92782;[[147, 16], [30, 119]];0.83803;0.88148;0.79866
24;0.05920;1733809401;0.81410;0.81230;[[148, 18], [40, 106]];0.78519;0.85484;0.72603
25;0.05707;1733809409;0.83333;0.89156;[[138, 10], [42, 122]];0.82432;0.92424;0.74390
26;0.05766;1733809417;0.85897;0.88843;[[146, 14], [30, 122]];0.84722;0.89706;0.80263
27;0.05785;1733809426;0.86859;0.89830;[[141, 8], [33, 130]];0.86379;0.94203;0.79755
28;0.05708;1733809434;0.85897;0.91682;[[135, 5], [39, 133]];0.85806;0.96377;0.77326
29;0.05688;1733809443;0.86218;0.89762;[[133, 6], [37, 136]];0.86349;0.95775;0.78613
