epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00021;00:04:36;0.99133;0.99946;[[17016, 163], [131, 16596]];0.99122;0.99027;0.99217
1;0.00009;00:04:52;0.99658;0.99977;[[16828, 71], [45, 16962]];0.99659;0.99583;0.99735
2;0.00014;00:05:55;0.99425;0.99967;[[16896, 119], [76, 16815]];0.99424;0.99297;0.99550
3;0.00011;00:08:05;0.99513;0.99981;[[16947, 95], [70, 16794]];0.99511;0.99438;0.99585
4;0.00017;00:08:19;0.99245;0.99964;[[16807, 146], [110, 16843]];0.99246;0.99141;0.99351
5;0.00008;00:08:20;0.99679;0.99993;[[16980, 71], [38, 16817]];0.99677;0.99580;0.99775
6;0.00009;00:08:15;0.99617;0.99987;[[16833, 74], [56, 16943]];0.99618;0.99565;0.99671
7;0.00004;00:07:19;0.99867;0.99997;[[16816, 37], [8, 17045]];0.99868;0.99783;0.99953
8;0.00001;00:08:26;0.99965;1.00000;[[17033, 9], [3, 16861]];0.99964;0.99947;0.99982
9;0.00001;00:08:35;0.99982;1.00000;[[16842, 5], [1, 17058]];0.99982;0.99971;0.99994
10;0.00000;00:08:25;0.99991;1.00000;[[16994, 3], [0, 16909]];0.99991;0.99982;1.00000
11;0.00000;00:07:16;0.99997;1.00000;[[17004, 1], [0, 16901]];0.99997;0.99994;1.00000
12;0.00000;00:08:45;1.00000;1.00000;[[17057, 0], [0, 16849]];1.00000;1.00000;1.00000
13;0.00000;00:07:34;0.99994;1.00000;[[16843, 2], [0, 17061]];0.99994;0.99988;1.00000
14;0.00000;00:07:14;0.99997;1.00000;[[17005, 1], [0, 16900]];0.99997;0.99994;1.00000
15;0.00000;00:07:30;1.00000;1.00000;[[17062, 0], [0, 16844]];1.00000;1.00000;1.00000
16;0.00000;00:08:29;0.99997;1.00000;[[17035, 1], [0, 16870]];0.99997;0.99994;1.00000
17;0.00000;00:08:36;1.00000;1.00000;[[16914, 0], [0, 16992]];1.00000;1.00000;1.00000
18;0.00000;00:08:23;1.00000;1.00000;[[17043, 0], [0, 16863]];1.00000;1.00000;1.00000
19;0.00000;00:09:23;0.99997;1.00000;[[17088, 1], [0, 16817]];0.99997;0.99994;1.00000
20;0.00000;00:08:39;0.99997;1.00000;[[16935, 1], [0, 16970]];0.99997;0.99994;1.00000
21;0.00000;00:07:20;1.00000;1.00000;[[16858, 0], [0, 17048]];1.00000;1.00000;1.00000
22;0.00000;00:08:56;1.00000;1.00000;[[17106, 0], [0, 16800]];1.00000;1.00000;1.00000
23;0.00000;00:08:13;1.00000;1.00000;[[16856, 0], [0, 17050]];1.00000;1.00000;1.00000
24;0.00000;00:07:46;1.00000;1.00000;[[16887, 0], [0, 17019]];1.00000;1.00000;1.00000
25;0.00000;00:09:31;0.99997;1.00000;[[16819, 1], [0, 17086]];0.99997;0.99994;1.00000
26;0.00000;00:07:49;0.99997;1.00000;[[16943, 1], [0, 16962]];0.99997;0.99994;1.00000
27;0.00000;00:08:38;1.00000;1.00000;[[17010, 0], [0, 16896]];1.00000;1.00000;1.00000
28;0.00000;00:08:44;0.99997;1.00000;[[16832, 1], [0, 17073]];0.99997;0.99994;1.00000
29;0.00000;00:08:27;1.00000;1.00000;[[16755, 0], [0, 17151]];1.00000;1.00000;1.00000
