epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00751;00:03:45;0.84680;0.91871;[[6635, 1532], [985, 7277]];0.85256;0.82609;0.88078
1;0.00586;00:05:06;0.88715;0.94889;[[7109, 1154], [700, 7466]];0.88955;0.86613;0.91428
2;0.00478;00:02:51;0.91052;0.96407;[[7285, 950], [520, 7674]];0.91259;0.88984;0.93654
3;0.00369;00:02:41;0.93597;0.97829;[[7496, 696], [356, 7881]];0.93743;0.91885;0.95678
4;0.00275;00:02:28;0.95198;0.98732;[[7656, 539], [250, 7984]];0.95292;0.93676;0.96964
5;0.00216;00:02:32;0.96330;0.99200;[[7769, 398], [205, 8057]];0.96393;0.95293;0.97519
6;0.00160;00:02:38;0.97419;0.99530;[[7910, 284], [140, 8095]];0.97448;0.96611;0.98300
7;0.00065;00:01:43;0.99044;0.99904;[[8096, 125], [32, 8176]];0.99049;0.98494;0.99610
8;0.00027;00:01:20;0.99738;0.99956;[[8258, 39], [4, 8128]];0.99736;0.99522;0.99951
9;0.00016;00:01:22;0.99799;0.99982;[[8256, 29], [4, 8140]];0.99798;0.99645;0.99951
10;0.00010;00:01:21;0.99897;0.99998;[[8180, 17], [0, 8232]];0.99897;0.99794;1.00000
11;0.00008;00:01:21;0.99933;0.99994;[[8362, 11], [0, 8056]];0.99932;0.99864;1.00000
12;0.00004;00:01:23;0.99970;1.00000;[[8265, 4], [1, 8159]];0.99969;0.99951;0.99988
13;0.00003;00:01:19;0.99988;0.99996;[[8142, 2], [0, 8285]];0.99988;0.99976;1.00000
14;0.00002;00:01:22;0.99982;1.00000;[[8145, 2], [1, 8281]];0.99982;0.99976;0.99988
15;0.00002;00:01:20;0.99988;1.00000;[[8176, 2], [0, 8251]];0.99988;0.99976;1.00000
16;0.00001;00:01:20;0.99994;1.00000;[[8037, 1], [0, 8391]];0.99994;0.99988;1.00000
17;0.00001;00:01:21;1.00000;1.00000;[[8223, 0], [0, 8206]];1.00000;1.00000;1.00000
18;0.00001;00:01:19;0.99988;1.00000;[[8227, 2], [0, 8200]];0.99988;0.99976;1.00000
19;0.00001;00:01:21;1.00000;1.00000;[[8203, 0], [0, 8226]];1.00000;1.00000;1.00000
20;0.00001;00:01:20;1.00000;1.00000;[[8151, 0], [0, 8278]];1.00000;1.00000;1.00000
21;0.00001;00:01:23;0.99994;1.00000;[[8120, 1], [0, 8308]];0.99994;0.99988;1.00000
22;0.00003;00:01:20;0.99970;1.00000;[[8214, 5], [0, 8210]];0.99970;0.99939;1.00000
23;0.00002;00:01:18;0.99982;1.00000;[[8308, 3], [0, 8118]];0.99982;0.99963;1.00000
24;0.00002;00:01:22;0.99982;1.00000;[[8217, 3], [0, 8209]];0.99982;0.99963;1.00000
25;0.00002;00:01:20;0.99994;1.00000;[[8303, 1], [0, 8125]];0.99994;0.99988;1.00000
26;0.00001;00:01:25;1.00000;1.00000;[[8121, 0], [0, 8308]];1.00000;1.00000;1.00000
27;0.00001;00:01:23;0.99988;1.00000;[[8112, 2], [0, 8315]];0.99988;0.99976;1.00000
28;0.00001;00:01:21;0.99994;1.00000;[[8229, 1], [0, 8199]];0.99994;0.99988;1.00000
29;0.00001;00:01:21;0.99988;1.00000;[[8246, 2], [0, 8181]];0.99988;0.99976;1.00000
