epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00068;00:06:40;0.97051;0.99470;[[16246, 530], [470, 16660]];0.97086;0.96917;0.97256
1;0.00044;00:12:24;0.98056;0.99763;[[16650, 351], [308, 16597]];0.98053;0.97929;0.98178
2;0.00036;00:09:50;0.98425;0.99838;[[16672, 285], [249, 16700]];0.98426;0.98322;0.98531
3;0.00030;00:09:40;0.98696;0.99890;[[16766, 228], [214, 16698]];0.98694;0.98653;0.98735
4;0.00035;00:09:43;0.98393;0.99860;[[16700, 279], [266, 16661]];0.98391;0.98353;0.98429
5;0.00027;00:10:00;0.98708;0.99918;[[16825, 218], [220, 16643]];0.98701;0.98707;0.98695
6;0.00029;00:09:09;0.98667;0.99900;[[16789, 228], [224, 16665]];0.98662;0.98650;0.98674
7;0.00025;00:10:44;0.98891;0.99923;[[16706, 188], [188, 16824]];0.98895;0.98895;0.98895
8;0.00011;00:12:01;0.99617;0.99984;[[16805, 72], [58, 16971]];0.99618;0.99578;0.99659
9;0.00004;00:08:55;0.99894;0.99998;[[17020, 17], [19, 16850]];0.99893;0.99899;0.99887
10;0.00002;00:10:05;0.99929;0.99999;[[17031, 15], [9, 16851]];0.99929;0.99911;0.99947
11;0.00002;00:08:48;0.99953;1.00000;[[17008, 8], [8, 16882]];0.99953;0.99953;0.99953
12;0.00001;00:07:59;0.99932;1.00000;[[16997, 12], [11, 16886]];0.99932;0.99929;0.99935
13;0.00001;00:09:22;0.99947;1.00000;[[16840, 11], [7, 17048]];0.99947;0.99936;0.99959
14;0.00001;00:09:23;0.99962;1.00000;[[16933, 4], [9, 16960]];0.99962;0.99976;0.99947
15;0.00001;00:09:10;0.99965;1.00000;[[16918, 5], [7, 16976]];0.99965;0.99971;0.99959
16;0.00001;00:08:44;0.99953;1.00000;[[17050, 8], [8, 16840]];0.99953;0.99953;0.99953
17;0.00001;00:09:56;0.99976;1.00000;[[16948, 3], [5, 16950]];0.99976;0.99982;0.99971
18;0.00001;00:08:35;0.99968;1.00000;[[16865, 4], [7, 17030]];0.99968;0.99977;0.99959
19;0.00001;00:11:34;0.99953;1.00000;[[16994, 7], [9, 16896]];0.99953;0.99959;0.99947
20;0.00001;00:11:23;0.99968;1.00000;[[16897, 6], [5, 16998]];0.99968;0.99965;0.99971
21;0.00001;00:10:17;0.99971;1.00000;[[16914, 2], [8, 16982]];0.99971;0.99988;0.99953
22;0.00001;00:09:26;0.99973;1.00000;[[17008, 3], [6, 16889]];0.99973;0.99982;0.99964
23;0.00001;00:09:35;0.99965;1.00000;[[17049, 3], [9, 16845]];0.99964;0.99982;0.99947
24;0.00001;00:10:21;0.99965;1.00000;[[16986, 4], [8, 16908]];0.99965;0.99976;0.99953
25;0.00001;00:08:26;0.99968;1.00000;[[16960, 3], [8, 16935]];0.99968;0.99982;0.99953
26;0.00001;00:07:42;0.99968;1.00000;[[17198, 3], [8, 16697]];0.99967;0.99982;0.99952
27;0.00001;00:08:16;0.99971;1.00000;[[16848, 3], [7, 17048]];0.99971;0.99982;0.99959
28;0.00001;00:10:01;0.99959;1.00000;[[17106, 6], [8, 16786]];0.99958;0.99964;0.99952
29;0.00001;00:10:49;0.99965;1.00000;[[17174, 4], [8, 16720]];0.99964;0.99976;0.99952
