epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01339;00:00:16;0.69822;0.76078;[[1261, 672], [482, 1409]];0.70947;0.67708;0.74511
1;0.00826;00:00:15;0.82244;0.90290;[[1506, 414], [265, 1639]];0.82841;0.79834;0.86082
2;0.00729;00:00:15;0.84859;0.92467;[[1574, 333], [246, 1671]];0.85233;0.83383;0.87167
3;0.00558;00:00:15;0.88651;0.95672;[[1655, 238], [196, 1735]];0.88883;0.87937;0.89850
4;0.00466;00:00:15;0.91449;0.96944;[[1694, 177], [150, 1803]];0.91686;0.91061;0.92320
5;0.00337;00:00:15;0.93828;0.98397;[[1770, 137], [99, 1818]];0.93905;0.92992;0.94836
6;0.00276;00:00:15;0.95110;0.98903;[[1773, 99], [88, 1864]];0.95223;0.94957;0.95492
7;0.00180;00:00:15;0.97150;0.99572;[[1865, 51], [58, 1850]];0.97138;0.97317;0.96960
8;0.00065;00:00:15;0.99399;0.99958;[[1920, 15], [8, 1881]];0.99392;0.99209;0.99576
9;0.00038;00:00:15;0.99738;0.99996;[[1907, 6], [4, 1907]];0.99738;0.99686;0.99791
10;0.00027;00:00:15;0.99712;0.99997;[[1858, 7], [4, 1955]];0.99719;0.99643;0.99796
11;0.00016;00:00:15;0.99869;1.00000;[[2009, 4], [1, 1810]];0.99862;0.99779;0.99945
12;0.00013;00:00:15;0.99895;0.99999;[[1942, 3], [1, 1878]];0.99894;0.99841;0.99947
13;0.00013;00:00:15;0.99922;0.99999;[[1890, 2], [1, 1931]];0.99922;0.99897;0.99948
14;0.00010;00:00:15;0.99922;1.00000;[[1979, 1], [2, 1842]];0.99919;0.99946;0.99892
15;0.00008;00:00:15;0.99974;1.00000;[[1905, 1], [0, 1918]];0.99974;0.99948;1.00000
16;0.00008;00:00:15;0.99974;1.00000;[[1942, 1], [0, 1881]];0.99973;0.99947;1.00000
17;0.00008;00:00:15;1.00000;1.00000;[[1896, 0], [0, 1928]];1.00000;1.00000;1.00000
18;0.00008;00:00:15;0.99974;1.00000;[[1897, 1], [0, 1926]];0.99974;0.99948;1.00000
19;0.00007;00:00:16;1.00000;1.00000;[[1895, 0], [0, 1929]];1.00000;1.00000;1.00000
20;0.00006;00:00:15;1.00000;1.00000;[[1918, 0], [0, 1906]];1.00000;1.00000;1.00000
21;0.00011;00:00:15;0.99895;0.99999;[[1911, 2], [2, 1909]];0.99895;0.99895;0.99895
22;0.00009;00:00:15;0.99922;1.00000;[[1897, 0], [3, 1924]];0.99922;1.00000;0.99844
23;0.00007;00:00:16;0.99974;1.00000;[[1891, 1], [0, 1932]];0.99974;0.99948;1.00000
24;0.00007;00:00:15;0.99974;1.00000;[[1947, 1], [0, 1876]];0.99973;0.99947;1.00000
25;0.00006;00:00:15;1.00000;1.00000;[[1944, 0], [0, 1880]];1.00000;1.00000;1.00000
26;0.00007;00:00:15;0.99974;1.00000;[[1899, 0], [1, 1924]];0.99974;1.00000;0.99948
27;0.00007;00:00:16;0.99948;1.00000;[[1946, 1], [1, 1876]];0.99947;0.99947;0.99947
28;0.00011;00:00:15;0.99869;1.00000;[[1935, 4], [1, 1884]];0.99867;0.99788;0.99947
29;0.00007;00:00:15;1.00000;1.00000;[[1915, 0], [0, 1909]];1.00000;1.00000;1.00000
