epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.06451;1733811092;0.69231;0.73133;[[141, 14], [82, 75]];0.60976;0.84270;0.47771
1;0.05819;1733811100;0.67628;0.71639;[[140, 19], [82, 71]];0.58436;0.78889;0.46405
2;0.05821;1733811113;0.69872;0.80121;[[139, 9], [85, 79]];0.62698;0.89773;0.48171
3;0.05918;1733811123;0.75000;0.83071;[[149, 17], [61, 85]];0.68548;0.83333;0.58219
4;0.06158;1733811131;0.76603;0.83250;[[149, 14], [59, 90]];0.71146;0.86538;0.60403
5;0.05980;1733811138;0.72115;0.82796;[[127, 18], [69, 98]];0.69258;0.84483;0.58683
6;0.06097;1733811150;0.83013;0.88806;[[155, 13], [40, 104]];0.79693;0.88889;0.72222
7;0.06244;1733811158;0.87179;0.90612;[[139, 10], [30, 133]];0.86928;0.93007;0.81595
8;0.06293;1733811166;0.86859;0.87097;[[139, 14], [27, 132]];0.86557;0.90411;0.83019
9;0.06148;1733811174;0.87179;0.87364;[[136, 16], [24, 136]];0.87179;0.89474;0.85000
10;0.06106;1733811182;0.91026;0.90576;[[150, 8], [20, 134]];0.90541;0.94366;0.87013
11;0.06014;1733811190;0.94231;0.94769;[[148, 7], [11, 146]];0.94194;0.95425;0.92994
12;0.05925;1733811198;0.89423;0.90812;[[124, 5], [28, 155]];0.90379;0.96875;0.84699
13;0.05966;1733811208;0.89423;0.90217;[[146, 8], [25, 133]];0.88963;0.94326;0.84177
14;0.05952;1733811216;0.92308;0.92142;[[136, 6], [18, 152]];0.92683;0.96203;0.89412
15;0.06038;1733811223;0.91987;0.92539;[[152, 7], [18, 135]];0.91525;0.95070;0.88235
16;0.06007;1733811236;0.91346;0.90220;[[144, 8], [19, 141]];0.91262;0.94631;0.88125
17;0.05974;1733811247;0.90385;0.90345;[[141, 8], [22, 141]];0.90385;0.94631;0.86503
18;0.05992;1733811255;0.93910;0.93585;[[162, 2], [17, 131]];0.93238;0.98496;0.88514
19;0.05980;1733811263;0.88462;0.87855;[[144, 13], [23, 132]];0.88000;0.91034;0.85161
20;0.06002;1733811270;0.92949;0.91215;[[156, 0], [22, 134]];0.92414;1.00000;0.85897
21;0.05976;1733811278;0.91346;0.91317;[[152, 9], [18, 133]];0.90785;0.93662;0.88079
22;0.05963;1733811286;0.91026;0.89439;[[134, 6], [22, 150]];0.91463;0.96154;0.87209
23;0.06002;1733811294;0.91667;0.91938;[[156, 5], [21, 130]];0.90909;0.96296;0.86093
24;0.05973;1733811304;0.88141;0.88535;[[139, 10], [27, 136]];0.88026;0.93151;0.83436
25;0.05989;1733811311;0.94872;0.93998;[[154, 4], [12, 142]];0.94667;0.97260;0.92208
26;0.05992;1733811323;0.91667;0.92481;[[158, 4], [22, 128]];0.90780;0.96970;0.85333
27;0.05994;1733811331;0.90385;0.90130;[[155, 11], [19, 127]];0.89437;0.92029;0.86986
28;0.06017;1733811344;0.92949;0.93670;[[145, 6], [16, 145]];0.92949;0.96026;0.90062
29;0.05967;1733811352;0.89423;0.89063;[[147, 8], [25, 132]];0.88889;0.94286;0.84076
