epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00058;00:05:02;0.97670;0.99603;[[16428, 414], [376, 16687]];0.97688;0.97579;0.97796
1;0.00015;00:05:14;0.99425;0.99956;[[16896, 127], [68, 16814]];0.99423;0.99250;0.99597
2;0.00015;00:09:46;0.99336;0.99966;[[16925, 136], [89, 16755]];0.99333;0.99195;0.99472
3;0.00016;00:07:23;0.99360;0.99961;[[16905, 124], [93, 16783]];0.99358;0.99267;0.99449
4;0.00011;00:05:55;0.99552;0.99978;[[16720, 89], [63, 17033]];0.99556;0.99480;0.99631
5;0.00017;00:07:22;0.99325;0.99962;[[16627, 129], [100, 17049]];0.99333;0.99249;0.99417
6;0.00009;00:06:11;0.99658;0.99980;[[16741, 74], [42, 17048]];0.99661;0.99568;0.99754
7;0.00003;00:07:03;0.99906;0.99998;[[16826, 29], [3, 17047]];0.99906;0.99830;0.99982
8;0.00001;00:07:57;0.99968;0.99998;[[17012, 10], [1, 16882]];0.99967;0.99941;0.99994
9;0.00001;00:08:38;0.99976;1.00000;[[17130, 7], [1, 16767]];0.99976;0.99958;0.99994
10;0.00001;00:07:21;0.99982;0.99995;[[16974, 6], [0, 16925]];0.99982;0.99965;1.00000
11;0.00000;00:07:49;0.99988;1.00000;[[16961, 4], [0, 16940]];0.99988;0.99976;1.00000
12;0.00000;00:08:44;0.99994;1.00000;[[16962, 2], [0, 16941]];0.99994;0.99988;1.00000
13;0.00000;00:07:48;0.99997;1.00000;[[17016, 1], [0, 16888]];0.99997;0.99994;1.00000
14;0.00001;00:07:20;0.99982;0.99999;[[16937, 6], [0, 16962]];0.99982;0.99965;1.00000
15;0.00000;00:07:36;1.00000;1.00000;[[16910, 0], [0, 16995]];1.00000;1.00000;1.00000
16;0.00000;00:08:12;0.99997;1.00000;[[16915, 1], [0, 16989]];0.99997;0.99994;1.00000
17;0.00000;00:07:32;0.99994;1.00000;[[16833, 2], [0, 17070]];0.99994;0.99988;1.00000
18;0.00001;00:07:03;0.99988;0.99999;[[16969, 4], [0, 16932]];0.99988;0.99976;1.00000
19;0.00000;00:08:11;0.99994;1.00000;[[17130, 2], [0, 16773]];0.99994;0.99988;1.00000
20;0.00000;00:07:17;0.99991;1.00000;[[17006, 2], [1, 16896]];0.99991;0.99988;0.99994
21;0.00000;00:08:25;0.99985;1.00000;[[16985, 5], [0, 16915]];0.99985;0.99970;1.00000
22;0.00000;00:08:55;1.00000;1.00000;[[17076, 0], [0, 16829]];1.00000;1.00000;1.00000
23;0.00000;00:08:04;1.00000;1.00000;[[16904, 0], [0, 17001]];1.00000;1.00000;1.00000
24;0.00000;00:07:44;0.99988;1.00000;[[16914, 4], [0, 16987]];0.99988;0.99976;1.00000
25;0.00000;00:08:23;0.99994;1.00000;[[17057, 2], [0, 16846]];0.99994;0.99988;1.00000
26;0.00000;00:07:59;0.99997;1.00000;[[17002, 1], [0, 16902]];0.99997;0.99994;1.00000
27;0.00000;00:08:08;0.99988;1.00000;[[16974, 4], [0, 16927]];0.99988;0.99976;1.00000
28;0.00000;00:08:07;0.99997;1.00000;[[16923, 1], [0, 16981]];0.99997;0.99994;1.00000
29;0.00000;00:07:19;0.99997;1.00000;[[16938, 1], [0, 16966]];0.99997;0.99994;1.00000
