epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.06835;1733810247;0.47756;0.43874;[[111, 56], [107, 38]];0.31799;0.40426;0.26207
1;0.06266;1733810255;0.52244;0.50336;[[155, 11], [138, 8]];0.09697;0.42105;0.05479
2;0.06150;1733810269;0.48397;0.58346;[[150, 0], [161, 1]];0.01227;1.00000;0.00617
3;0.06125;1733810282;0.48718;0.53840;[[152, 0], [160, 0]];0.00000;0.00000;0.00000
4;0.06092;1733810291;0.54808;0.57119;[[169, 0], [141, 2]];0.02759;1.00000;0.01399
5;0.06092;1733810304;0.50000;0.53871;[[155, 2], [154, 1]];0.01266;0.33333;0.00645
6;0.06073;1733810318;0.49359;0.54136;[[154, 1], [157, 0]];0.00000;0.00000;0.00000
7;0.06149;1733810331;0.49679;0.56991;[[154, 0], [157, 1]];0.01258;1.00000;0.00633
8;0.06154;1733810339;0.48077;0.51716;[[150, 0], [162, 0]];0.00000;0.00000;0.00000
9;0.06189;1733810348;0.48397;0.59504;[[149, 2], [159, 2]];0.02424;0.50000;0.01242
10;0.06157;1733810359;0.54808;0.63548;[[160, 3], [138, 11]];0.13497;0.78571;0.07383
11;0.06109;1733810367;0.53846;0.59164;[[165, 1], [143, 3]];0.04000;0.75000;0.02055
12;0.05956;1733810375;0.51603;0.55580;[[155, 5], [146, 6]];0.07362;0.54545;0.03947
13;0.05946;1733810384;0.49038;0.58216;[[151, 0], [159, 2]];0.02454;1.00000;0.01242
14;0.06237;1733810397;0.53205;0.59832;[[166, 0], [146, 0]];0.00000;0.00000;0.00000
15;0.05890;1733810405;0.50321;0.58571;[[154, 0], [155, 3]];0.03727;1.00000;0.01899
16;0.06115;1733810419;0.47115;0.60878;[[146, 1], [164, 1]];0.01198;0.50000;0.00606
17;0.06109;1733810430;0.51603;0.61867;[[153, 0], [151, 8]];0.09581;1.00000;0.05031
18;0.06196;1733810438;0.50641;0.53883;[[155, 9], [145, 3]];0.03750;0.25000;0.02027
19;0.05911;1733810449;0.44551;0.51100;[[139, 0], [173, 0]];0.00000;0.00000;0.00000
20;0.06113;1733810459;0.53205;0.60528;[[166, 0], [146, 0]];0.00000;0.00000;0.00000
21;0.06030;1733810467;0.50641;0.53062;[[144, 10], [144, 14]];0.15385;0.58333;0.08861
22;0.05830;1733810478;0.50962;0.55662;[[159, 0], [153, 0]];0.00000;0.00000;0.00000
23;0.05809;1733810487;0.53205;0.60088;[[166, 0], [146, 0]];0.00000;0.00000;0.00000
24;0.05830;1733810500;0.47436;0.57280;[[148, 0], [164, 0]];0.00000;0.00000;0.00000
25;0.05846;1733810509;0.49359;0.54010;[[153, 0], [158, 1]];0.01250;1.00000;0.00629
26;0.05838;1733810517;0.53205;0.59436;[[159, 0], [146, 7]];0.08750;1.00000;0.04575
27;0.05901;1733810525;0.53205;0.59926;[[151, 1], [145, 15]];0.17045;0.93750;0.09375
28;0.05939;1733810538;0.55449;0.53065;[[159, 4], [135, 14]];0.16766;0.77778;0.09396
29;0.05946;1733810546;0.51282;0.54268;[[141, 7], [145, 19]];0.20000;0.73077;0.11585
