epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01934;00:04:48;0.39329;0.69054;[[1540, 1007, 78, 345], [1147, 1156, 226, 416], [589, 628, 971, 722], [656, 462, 868, 964]];0.39033;0.39834;0.39329
1;0.02011;00:05:23;0.35609;0.65429;[[1417, 1007, 101, 445], [1283, 1025, 201, 436], [866, 537, 853, 654], [878, 397, 777, 898]];0.35382;0.36844;0.35609
2;0.02014;00:05:18;0.35482;0.65367;[[1501, 1016, 40, 413], [1369, 1026, 177, 373], [865, 545, 804, 696], [944, 418, 741, 847]];0.35070;0.37019;0.35482
3;0.02015;00:05:22;0.35142;0.65102;[[1379, 1116, 49, 426], [1263, 1125, 194, 363], [839, 577, 908, 586], [893, 479, 852, 726]];0.34824;0.36346;0.35142
4;0.02030;00:05:18;0.34692;0.64730;[[1342, 1064, 47, 517], [1270, 1046, 198, 431], [863, 571, 913, 563], [873, 470, 823, 784]];0.34550;0.36036;0.34692
5;0.02038;00:05:19;0.34735;0.64598;[[1482, 1065, 46, 377], [1393, 1014, 219, 319], [886, 585, 987, 452], [908, 516, 919, 607]];0.34133;0.35882;0.34735
6;0.02052;00:05:21;0.34548;0.63924;[[1421, 1085, 51, 413], [1289, 1081, 233, 342], [873, 604, 1039, 394], [998, 456, 969, 527]];0.33836;0.35285;0.34548
7;0.02335;00:05:19;0.25860;0.46666;[[0, 1111, 29, 1830], [0, 1256, 140, 1549], [0, 1452, 630, 828], [0, 1183, 608, 1159]];0.22102;0.22757;0.25860
8;0.02197;00:05:16;0.23456;0.47054;[[63, 1018, 491, 1398], [62, 1138, 455, 1290], [74, 1347, 799, 690], [60, 1098, 1030, 762]];0.20860;0.24048;0.23456
9;0.02189;00:05:21;0.22777;0.46794;[[506, 607, 602, 1255], [537, 703, 523, 1182], [355, 1099, 829, 627], [268, 910, 1128, 644]];0.22805;0.23957;0.22777
10;0.02185;00:05:25;0.22667;0.46575;[[781, 335, 635, 1219], [795, 447, 555, 1148], [586, 872, 820, 632], [405, 773, 1151, 621]];0.22690;0.22989;0.22667
11;0.02183;00:05:18;0.22242;0.46291;[[782, 309, 649, 1230], [835, 394, 552, 1164], [596, 863, 818, 633], [407, 769, 1149, 625]];0.22185;0.22417;0.22242
12;0.02181;00:05:21;0.22310;0.46010;[[804, 256, 652, 1258], [816, 358, 553, 1218], [657, 792, 810, 651], [463, 706, 1126, 655]];0.22136;0.22353;0.22310
13;0.02180;00:05:22;0.22123;0.45664;[[843, 214, 630, 1283], [900, 280, 557, 1208], [1060, 390, 823, 637], [822, 347, 1122, 659]];0.21436;0.22408;0.22123
14;0.02178;00:05:17;0.21563;0.45340;[[851, 146, 663, 1310], [960, 181, 582, 1222], [1100, 314, 841, 655], [869, 267, 1148, 666]];0.20381;0.21421;0.21563
15;0.02177;00:05:22;0.21715;0.45331;[[824, 141, 634, 1371], [896, 197, 554, 1298], [1026, 350, 830, 704], [842, 278, 1124, 706]];0.20669;0.21758;0.21715
16;0.02176;00:05:17;0.21597;0.45153;[[830, 72, 652, 1416], [930, 97, 581, 1337], [1117, 205, 825, 763], [889, 178, 1092, 791]];0.19794;0.21028;0.21597
17;0.02175;00:05:20;0.21503;0.44959;[[761, 108, 601, 1500], [884, 128, 553, 1380], [1061, 236, 859, 754], [873, 183, 1110, 784]];0.20010;0.21494;0.21503
18;0.02174;00:05:20;0.21146;0.44844;[[822, 19, 590, 1539], [940, 34, 523, 1448], [1092, 158, 859, 801], [889, 128, 1158, 775]];0.18893;0.19085;0.21146
19;0.02173;00:05:21;0.21342;0.44848;[[742, 42, 564, 1622], [854, 57, 500, 1534], [1081, 109, 882, 838], [850, 108, 1160, 832]];0.19243;0.21155;0.21342
20;0.02172;00:05:22;0.21163;0.44760;[[630, 105, 541, 1694], [726, 144, 513, 1562], [998, 181, 893, 838], [795, 168, 1162, 825]];0.19813;0.22369;0.21163
21;0.02172;00:05:18;0.20909;0.45140;[[425, 257, 618, 1670], [497, 314, 561, 1573], [674, 473, 915, 848], [545, 373, 1224, 808]];0.20215;0.21496;0.20909
22;0.02171;00:05:23;0.21121;0.45066;[[385, 282, 591, 1712], [440, 335, 548, 1622], [650, 457, 945, 858], [525, 377, 1226, 822]];0.20401;0.21793;0.21121
23;0.02171;00:05:25;0.21792;0.45191;[[419, 266, 709, 1576], [477, 324, 688, 1456], [647, 458, 924, 881], [547, 339, 1165, 899]];0.20862;0.22130;0.21792
24;0.02171;00:05:17;0.21503;0.44978;[[429, 171, 714, 1656], [498, 209, 692, 1546], [695, 325, 857, 1033], [546, 288, 1079, 1037]];0.19962;0.21520;0.21503
