epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00533;00:05:17;0.34596;0.64206;[[1404, 1128, 172, 266], [1249, 1174, 261, 261], [831, 634, 981, 465], [1057, 452, 926, 515]];0.33726;0.35388;0.34596
1;0.00557;00:05:10;0.34706;0.63680;[[996, 1363, 174, 437], [933, 1346, 271, 395], [672, 707, 964, 568], [604, 654, 911, 781]];0.34470;0.35350;0.34706
2;0.00572;00:05:12;0.35377;0.62936;[[1120, 1118, 183, 549], [1042, 1192, 304, 407], [651, 741, 1000, 519], [548, 578, 970, 854]];0.35308;0.35866;0.35377
3;0.00580;00:05:13;0.35819;0.62513;[[1010, 1154, 52, 754], [923, 1237, 217, 568], [575, 815, 989, 532], [420, 630, 918, 982]];0.35877;0.36674;0.35819
4;0.00578;00:05:19;0.35250;0.62400;[[891, 1210, 214, 655], [891, 1237, 321, 496], [628, 716, 1063, 504], [452, 521, 1017, 960]];0.35193;0.35494;0.35250
5;0.00584;00:05:15;0.35318;0.61816;[[962, 1151, 173, 684], [940, 1197, 306, 502], [678, 700, 1141, 392], [495, 524, 1072, 859]];0.35271;0.35578;0.35318
6;0.00582;00:05:18;0.35547;0.61679;[[948, 1176, 54, 792], [901, 1246, 261, 537], [562, 817, 1283, 249], [407, 625, 1209, 709]];0.35291;0.35614;0.35547
7;0.00579;00:05:14;0.35165;0.61617;[[827, 1179, 55, 909], [832, 1228, 272, 613], [537, 799, 1310, 265], [324, 617, 1233, 776]];0.34929;0.35178;0.35165
8;0.00577;00:05:11;0.34927;0.61576;[[797, 1154, 56, 963], [815, 1213, 270, 647], [506, 798, 1272, 335], [298, 624, 1197, 831]];0.34766;0.35075;0.34927
9;0.00583;00:05:15;0.34197;0.61023;[[805, 1096, 38, 1031], [835, 1144, 168, 798], [519, 757, 759, 876], [305, 604, 722, 1319]];0.33851;0.35518;0.34197
10;0.00583;00:05:14;0.33517;0.60904;[[709, 1100, 183, 978], [771, 1134, 237, 803], [492, 747, 686, 986], [264, 606, 662, 1418]];0.32759;0.33983;0.33517
11;0.00585;00:05:18;0.32838;0.60702;[[719, 1043, 198, 1010], [803, 1059, 249, 834], [634, 578, 729, 970], [418, 447, 725, 1360]];0.32320;0.33156;0.32838
12;0.00585;00:05:14;0.32863;0.60711;[[717, 1090, 214, 949], [820, 1081, 274, 770], [630, 606, 707, 968], [414, 460, 711, 1365]];0.32285;0.32966;0.32863
13;0.00583;00:05:15;0.33534;0.60831;[[701, 1109, 204, 956], [756, 1151, 293, 745], [464, 778, 1026, 643], [261, 619, 999, 1071]];0.33350;0.33887;0.33534
14;0.00758;00:05:14;0.27556;0.38133;[[2, 0, 1125, 1843], [1, 0, 1369, 1575], [0, 0, 2087, 824], [0, 0, 1794, 1156]];0.18083;0.30271;0.27556
15;0.00648;00:05:16;0.22818;0.40453;[[2, 0, 1079, 1889], [3, 0, 1080, 1862], [1, 0, 1835, 1075], [0, 0, 2100, 850]];0.15045;0.19602;0.22818
16;0.00627;00:05:12;0.20669;0.42682;[[5, 365, 709, 1891], [4, 457, 618, 1866], [2, 752, 1120, 1037], [0, 636, 1462, 852]];0.17604;0.27498;0.20669
17;0.00621;00:05:16;0.21162;0.44197;[[3, 742, 730, 1495], [0, 890, 609, 1446], [3, 1194, 925, 789], [0, 956, 1320, 674]];0.18301;0.28709;0.21162
18;0.00618;00:05:18;0.21535;0.45038;[[0, 905, 776, 1289], [3, 1050, 636, 1256], [0, 1298, 912, 701], [0, 1043, 1333, 574]];0.18366;0.16041;0.21535
19;0.00617;00:05:11;0.21340;0.45316;[[2, 945, 832, 1191], [2, 1093, 672, 1178], [6, 1315, 927, 663], [6, 1067, 1386, 491]];0.18069;0.18832;0.21340
20;0.00616;00:05:14;0.21281;0.45515;[[1, 963, 885, 1121], [2, 1114, 707, 1122], [0, 1326, 941, 644], [0, 1062, 1438, 450]];0.17883;0.23882;0.21281
21;0.00616;00:05:14;0.21315;0.45593;[[4, 961, 932, 1073], [2, 1116, 746, 1081], [5, 1320, 968, 618], [4, 1068, 1456, 422]];0.17866;0.22119;0.21315
22;0.00616;00:05:17;0.21450;0.45430;[[2, 965, 1013, 990], [3, 1112, 803, 1027], [3, 1316, 1017, 575], [6, 1061, 1488, 395]];0.17837;0.18978;0.21450
23;0.00615;00:05:16;0.21790;0.45540;[[0, 961, 1351, 658], [0, 1113, 1160, 672], [0, 1312, 1181, 418], [0, 1057, 1621, 272]];0.17377;0.15133;0.21790
24;0.00615;00:05:21;0.21782;0.45493;[[0, 946, 1453, 571], [0, 1097, 1247, 601], [0, 1308, 1238, 365], [0, 1059, 1661, 230]];0.17095;0.14947;0.21782
