epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00123;00:05:08;0.76690;0.93566;[[2539, 404, 14, 13], [592, 2042, 281, 30], [9, 399, 1970, 533], [21, 42, 407, 2480]];0.76535;0.76501;0.76690
1;0.00121;00:05:09;0.76877;0.93799;[[2528, 408, 15, 19], [574, 2050, 293, 28], [11, 389, 1974, 537], [16, 47, 386, 2501]];0.76724;0.76690;0.76877
2;0.00123;00:05:04;0.76342;0.93605;[[2520, 420, 13, 17], [605, 2030, 282, 28], [12, 402, 1957, 540], [17, 41, 409, 2483]];0.76184;0.76153;0.76342
3;0.00121;00:05:02;0.76478;0.93683;[[2523, 419, 13, 15], [587, 2048, 281, 29], [16, 394, 1968, 533], [21, 38, 424, 2467]];0.76338;0.76302;0.76478
4;0.00121;00:05:03;0.76826;0.93865;[[2523, 418, 16, 13], [589, 2054, 271, 31], [10, 398, 1991, 512], [15, 54, 402, 2479]];0.76702;0.76678;0.76826
5;0.00117;00:05:12;0.76749;0.93928;[[2517, 418, 20, 15], [575, 2069, 279, 22], [11, 378, 1980, 542], [15, 43, 420, 2472]];0.76623;0.76584;0.76749
6;0.00111;00:05:08;0.77709;0.94271;[[2551, 396, 12, 11], [561, 2084, 275, 25], [8, 366, 2015, 522], [16, 37, 396, 2501]];0.77573;0.77537;0.77709
7;0.00109;00:05:08;0.78337;0.94554;[[2566, 379, 12, 13], [573, 2071, 276, 25], [11, 354, 2070, 476], [13, 36, 383, 2518]];0.78206;0.78170;0.78337
8;0.00108;00:05:04;0.77879;0.94430;[[2562, 385, 9, 14], [568, 2070, 286, 21], [13, 371, 2027, 500], [14, 43, 381, 2512]];0.77737;0.77701;0.77879
9;0.00105;00:05:09;0.78422;0.94671;[[2574, 376, 9, 11], [554, 2090, 280, 21], [12, 352, 2062, 485], [12, 40, 389, 2509]];0.78297;0.78258;0.78422
10;0.00110;00:05:04;0.78872;0.94710;[[2438, 479, 41, 12], [468, 2146, 316, 15], [4, 341, 2127, 439], [5, 23, 345, 2577]];0.78849;0.78849;0.78872
11;0.00087;00:05:03;0.81462;0.96000;[[2611, 337, 15, 7], [478, 2191, 258, 18], [5, 270, 2173, 463], [12, 24, 296, 2618]];0.81342;0.81323;0.81462
12;0.00081;00:05:05;0.82439;0.96326;[[2650, 300, 10, 10], [466, 2222, 240, 17], [5, 262, 2201, 443], [10, 25, 280, 2635]];0.82314;0.82310;0.82439
13;0.00077;00:05:04;0.83076;0.96602;[[2660, 290, 10, 10], [463, 2239, 229, 14], [2, 252, 2226, 431], [12, 19, 261, 2658]];0.82951;0.82959;0.83076
14;0.00074;00:05:07;0.83916;0.96763;[[2678, 273, 9, 10], [450, 2282, 201, 12], [3, 247, 2256, 405], [16, 16, 252, 2666]];0.83807;0.83824;0.83916
15;0.00071;00:05:06;0.84154;0.96885;[[2694, 257, 10, 9], [448, 2288, 200, 9], [5, 229, 2251, 426], [12, 24, 237, 2677]];0.84032;0.84070;0.84154
16;0.00070;00:05:04;0.84443;0.97040;[[2695, 255, 9, 11], [435, 2290, 207, 13], [2, 226, 2290, 393], [15, 19, 247, 2669]];0.84338;0.84353;0.84443
17;0.00066;00:05:11;0.85606;0.97279;[[2691, 262, 6, 11], [393, 2331, 206, 15], [1, 182, 2316, 412], [10, 12, 185, 2743]];0.85496;0.85549;0.85606
18;0.00065;00:05:08;0.85182;0.97342;[[2691, 261, 8, 10], [411, 2340, 188, 6], [5, 207, 2295, 404], [11, 16, 218, 2705]];0.85082;0.85115;0.85182
19;0.00065;00:05:10;0.85564;0.97322;[[2707, 244, 10, 9], [400, 2357, 181, 7], [1, 202, 2310, 398], [13, 13, 222, 2702]];0.85469;0.85501;0.85564
20;0.00064;00:05:06;0.85496;0.97378;[[2696, 257, 9, 8], [412, 2339, 185, 9], [2, 220, 2320, 369], [9, 18, 210, 2713]];0.85404;0.85425;0.85496
21;0.00064;00:05:07;0.85700;0.97471;[[2716, 236, 6, 12], [403, 2355, 179, 8], [3, 198, 2321, 389], [12, 16, 222, 2700]];0.85605;0.85641;0.85700
22;0.00064;00:05:04;0.85887;0.97437;[[2742, 211, 10, 7], [405, 2358, 169, 13], [2, 211, 2319, 379], [12, 13, 230, 2695]];0.85785;0.85825;0.85887
23;0.00064;00:05:08;0.85360;0.97405;[[2693, 260, 8, 9], [416, 2341, 176, 12], [4, 206, 2309, 392], [11, 14, 216, 2709]];0.85263;0.85301;0.85360
24;0.00063;00:05:05;0.85530;0.97486;[[2701, 251, 10, 8], [406, 2347, 185, 7], [2, 204, 2315, 390], [10, 17, 214, 2709]];0.85435;0.85463;0.85530
