epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00556;00:01:43;0.93540;0.99318;[[623, 32, 2, 3], [32, 608, 19, 2], [0, 23, 571, 29], [0, 1, 26, 645]];0.93538;0.93539;0.93540
1;0.00463;00:01:41;0.94801;0.99544;[[627, 31, 0, 2], [33, 612, 13, 3], [4, 12, 589, 18], [1, 3, 16, 652]];0.94799;0.94799;0.94801
2;0.00512;00:01:25;0.93540;0.99446;[[631, 28, 1, 0], [37, 601, 20, 3], [0, 19, 571, 33], [0, 2, 26, 644]];0.93529;0.93527;0.93540
3;0.00466;00:01:44;0.93693;0.99555;[[629, 29, 1, 1], [30, 615, 15, 1], [2, 24, 568, 29], [2, 1, 30, 639]];0.93691;0.93694;0.93693
4;0.00401;00:01:26;0.95451;0.99666;[[635, 23, 0, 2], [24, 623, 12, 2], [0, 13, 586, 24], [3, 2, 14, 653]];0.95448;0.95450;0.95451
5;0.00384;00:01:44;0.94916;0.99702;[[633, 26, 0, 1], [32, 613, 13, 3], [2, 12, 587, 22], [1, 2, 19, 650]];0.94911;0.94911;0.94916
6;0.00321;00:01:47;0.96407;0.99786;[[650, 9, 0, 1], [21, 627, 11, 2], [1, 11, 588, 23], [0, 2, 13, 657]];0.96399;0.96406;0.96407
7;0.00331;00:01:46;0.96177;0.99753;[[636, 23, 0, 1], [25, 626, 9, 1], [0, 13, 595, 15], [1, 3, 9, 659]];0.96178;0.96182;0.96177
8;0.00350;00:01:42;0.95719;0.99741;[[638, 22, 0, 0], [22, 624, 15, 0], [0, 17, 590, 16], [1, 1, 18, 652]];0.95721;0.95723;0.95719
9;0.00294;00:01:39;0.96789;0.99833;[[642, 17, 0, 1], [22, 635, 3, 1], [1, 9, 598, 15], [0, 2, 13, 657]];0.96789;0.96792;0.96789
10;0.00330;00:01:41;0.95948;0.99763;[[642, 18, 0, 0], [29, 617, 14, 1], [1, 15, 594, 13], [0, 3, 12, 657]];0.95944;0.95946;0.95948
11;0.00293;00:01:48;0.96636;0.99824;[[642, 16, 0, 2], [23, 629, 9, 0], [0, 12, 600, 11], [1, 0, 14, 657]];0.96635;0.96636;0.96636
12;0.00327;00:01:27;0.96369;0.99768;[[643, 14, 1, 2], [15, 632, 12, 2], [0, 11, 589, 23], [0, 1, 14, 657]];0.96366;0.96369;0.96369
13;0.00241;00:01:44;0.96904;0.99889;[[641, 17, 0, 2], [19, 632, 8, 2], [0, 9, 603, 11], [1, 2, 10, 659]];0.96903;0.96903;0.96904
14;0.00271;00:01:43;0.96904;0.99843;[[645, 14, 0, 1], [14, 634, 12, 1], [1, 11, 597, 14], [0, 1, 12, 659]];0.96903;0.96902;0.96904
15;0.00211;00:01:44;0.97706;0.99907;[[650, 9, 1, 0], [9, 641, 10, 1], [1, 9, 605, 8], [0, 1, 11, 660]];0.97707;0.97709;0.97706
16;0.00250;00:01:39;0.97362;0.99868;[[650, 9, 1, 0], [11, 638, 12, 0], [1, 5, 601, 16], [0, 1, 13, 658]];0.97362;0.97365;0.97362
17;0.00226;00:01:45;0.97745;0.99893;[[651, 8, 0, 1], [9, 647, 4, 1], [1, 5, 600, 17], [0, 1, 12, 659]];0.97743;0.97745;0.97745
18;0.00242;00:01:39;0.97554;0.99879;[[648, 12, 0, 0], [14, 639, 5, 3], [1, 6, 605, 11], [0, 1, 11, 660]];0.97553;0.97552;0.97554
19;0.00231;00:01:45;0.97286;0.99882;[[650, 9, 1, 0], [12, 638, 11, 0], [0, 12, 601, 10], [1, 1, 14, 656]];0.97287;0.97290;0.97286
