epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01037;00:01:41;0.87495;0.97828;[[593, 62, 1, 4], [73, 550, 35, 4], [1, 38, 519, 64], [0, 4, 41, 626]];0.87455;0.87454;0.87495
1;0.00873;00:01:36;0.88566;0.98448;[[605, 51, 2, 2], [64, 562, 35, 1], [1, 39, 529, 53], [1, 5, 45, 620]];0.88549;0.88539;0.88566
2;0.00877;00:01:40;0.89598;0.98408;[[602, 53, 4, 1], [58, 570, 29, 5], [3, 27, 542, 50], [1, 7, 34, 629]];0.89582;0.89577;0.89598
3;0.00846;00:01:41;0.89943;0.98548;[[608, 47, 3, 2], [58, 576, 25, 3], [4, 29, 542, 47], [1, 4, 40, 626]];0.89928;0.89924;0.89943
4;0.00824;00:01:38;0.90096;0.98639;[[610, 48, 1, 1], [57, 576, 26, 3], [0, 32, 538, 52], [1, 4, 34, 632]];0.90074;0.90076;0.90096
5;0.00771;00:01:40;0.90631;0.98848;[[614, 42, 1, 3], [57, 582, 16, 7], [2, 29, 547, 44], [2, 3, 39, 627]];0.90616;0.90620;0.90631
6;0.00784;00:01:42;0.90440;0.98738;[[607, 46, 4, 3], [56, 583, 20, 3], [2, 33, 539, 48], [1, 5, 29, 636]];0.90421;0.90438;0.90440
7;0.00776;00:01:38;0.90554;0.98777;[[606, 48, 3, 3], [59, 578, 22, 3], [1, 32, 551, 38], [2, 3, 33, 633]];0.90546;0.90546;0.90554
8;0.00728;00:01:38;0.91243;0.98953;[[615, 38, 2, 5], [57, 584, 18, 3], [1, 17, 557, 47], [1, 8, 32, 630]];0.91228;0.91234;0.91243
9;0.00663;00:01:35;0.91893;0.99120;[[618, 38, 3, 1], [47, 593, 19, 3], [2, 22, 556, 42], [0, 2, 33, 636]];0.91881;0.91878;0.91893
10;0.00692;00:01:38;0.92352;0.99005;[[615, 43, 1, 1], [48, 595, 17, 2], [1, 24, 564, 33], [2, 4, 24, 641]];0.92349;0.92355;0.92352
11;0.00612;00:01:37;0.92352;0.99266;[[618, 40, 2, 0], [51, 592, 15, 4], [1, 17, 569, 35], [1, 5, 29, 636]];0.92345;0.92345;0.92352
12;0.00600;00:01:40;0.93231;0.99285;[[614, 41, 2, 3], [48, 596, 16, 2], [2, 12, 579, 29], [1, 3, 18, 649]];0.93222;0.93220;0.93231
13;0.00648;00:01:42;0.91434;0.99167;[[608, 46, 3, 3], [49, 592, 19, 2], [4, 23, 552, 43], [0, 1, 31, 639]];0.91421;0.91423;0.91434
