epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01681;00:01:47;0.78815;0.94440;[[553, 100, 4, 3], [102, 476, 74, 10], [4, 78, 442, 98], [5, 11, 65, 590]];0.78734;0.78708;0.78815
1;0.01622;00:01:47;0.79006;0.94764;[[557, 94, 6, 3], [104, 483, 64, 11], [5, 78, 437, 102], [4, 10, 68, 589]];0.78903;0.78884;0.79006
2;0.01489;00:01:34;0.80382;0.95500;[[570, 81, 5, 4], [100, 497, 54, 11], [4, 82, 433, 103], [4, 11, 54, 602]];0.80227;0.80287;0.80382
3;0.01472;00:01:34;0.80076;0.95607;[[566, 87, 4, 3], [109, 493, 51, 9], [7, 79, 446, 90], [3, 11, 68, 589]];0.79989;0.79998;0.80076
4;0.01460;00:01:29;0.81033;0.95647;[[571, 81, 2, 6], [102, 494, 59, 7], [5, 82, 453, 82], [2, 10, 58, 601]];0.80941;0.80937;0.81033
5;0.01386;00:01:43;0.81147;0.96069;[[566, 86, 6, 2], [96, 497, 57, 12], [1, 78, 456, 87], [0, 7, 61, 603]];0.81068;0.81060;0.81147
6;0.01376;00:01:45;0.82447;0.96091;[[574, 81, 4, 1], [97, 510, 46, 9], [5, 74, 466, 77], [4, 7, 54, 606]];0.82377;0.82402;0.82447
7;0.01312;00:01:42;0.82906;0.96469;[[577, 77, 2, 4], [92, 510, 52, 8], [4, 61, 481, 76], [5, 9, 57, 600]];0.82851;0.82834;0.82906
8;0.01340;00:01:50;0.82906;0.96349;[[579, 76, 2, 3], [95, 513, 47, 7], [5, 74, 466, 77], [5, 8, 48, 610]];0.82822;0.82864;0.82906
9;0.01332;00:01:51;0.82447;0.96395;[[558, 94, 5, 3], [92, 522, 37, 11], [4, 61, 470, 87], [5, 9, 51, 606]];0.82398;0.82485;0.82447
10;0.01398;00:01:48;0.82141;0.96036;[[563, 89, 2, 6], [102, 505, 45, 10], [7, 59, 472, 84], [4, 15, 44, 608]];0.82071;0.82135;0.82141
11;0.01310;00:01:51;0.83212;0.96541;[[585, 69, 3, 3], [94, 519, 37, 12], [4, 57, 479, 82], [3, 13, 62, 593]];0.83148;0.83153;0.83212
12;0.01360;00:01:32;0.82180;0.96320;[[581, 74, 0, 5], [83, 522, 43, 14], [5, 67, 454, 96], [2, 16, 61, 592]];0.82093;0.82154;0.82180
13;0.01208;00:01:47;0.85048;0.96947;[[587, 65, 2, 6], [90, 519, 45, 8], [2, 61, 494, 65], [2, 8, 37, 624]];0.84969;0.84981;0.85048
14;0.01212;00:01:48;0.84512;0.97031;[[583, 71, 2, 4], [89, 522, 40, 11], [7, 53, 502, 60], [4, 15, 49, 603]];0.84484;0.84493;0.84512
15;0.01226;00:01:45;0.84245;0.96911;[[587, 68, 2, 3], [91, 509, 48, 14], [4, 60, 490, 68], [3, 11, 40, 617]];0.84158;0.84161;0.84245
16;0.01068;00:01:50;0.86922;0.97618;[[581, 75, 2, 2], [77, 550, 27, 8], [4, 49, 510, 59], [4, 7, 28, 632]];0.86897;0.86992;0.86922
17;0.01099;00:01:47;0.86577;0.97550;[[602, 56, 0, 2], [62, 550, 39, 11], [5, 52, 496, 69], [1, 12, 42, 616]];0.86525;0.86551;0.86577
18;0.01119;00:01:47;0.86348;0.97423;[[596, 59, 3, 2], [67, 543, 44, 8], [1, 55, 502, 64], [4, 9, 41, 617]];0.86309;0.86309;0.86348
19;0.00989;00:01:42;0.87228;0.97983;[[593, 64, 1, 2], [65, 555, 31, 11], [2, 45, 514, 61], [4, 7, 41, 619]];0.87203;0.87227;0.87228
20;0.00980;00:01:49;0.87610;0.97992;[[595, 59, 3, 3], [59, 559, 37, 7], [6, 49, 513, 54], [2, 8, 37, 624]];0.87587;0.87604;0.87610
21;0.00946;00:01:29;0.88489;0.98177;[[605, 50, 0, 5], [58, 566, 27, 11], [4, 42, 521, 55], [5, 7, 37, 622]];0.88459;0.88484;0.88489
22;0.00919;00:01:47;0.89101;0.98174;[[611, 46, 3, 0], [55, 569, 33, 5], [5, 50, 521, 46], [2, 11, 29, 629]];0.89079;0.89105;0.89101
23;0.00861;00:01:48;0.89331;0.98435;[[605, 51, 1, 3], [62, 572, 22, 6], [1, 45, 528, 48], [1, 7, 32, 631]];0.89313;0.89353;0.89331
24;0.00759;00:01:44;0.91166;0.98781;[[613, 41, 2, 4], [45, 586, 28, 3], [2, 34, 541, 45], [1, 5, 21, 644]];0.91142;0.91160;0.91166
25;0.00802;00:01:46;0.90325;0.98640;[[614, 44, 2, 0], [57, 572, 27, 6], [5, 34, 542, 41], [2, 6, 29, 634]];0.90303;0.90306;0.90325
26;0.00713;00:01:30;0.91511;0.98925;[[623, 31, 2, 4], [44, 586, 29, 3], [1, 40, 545, 36], [0, 1, 31, 639]];0.91491;0.91482;0.91511
