epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00497;00:01:12;0.94572;0.99478;[[620, 37, 1, 2], [36, 609, 16, 0], [4, 12, 587, 20], [0, 1, 13, 658]];0.94567;0.94565;0.94572
1;0.00285;00:01:12;0.96789;0.99809;[[642, 18, 0, 0], [19, 633, 9, 0], [2, 10, 600, 11], [1, 1, 13, 657]];0.96790;0.96792;0.96789
2;0.00276;00:01:10;0.96827;0.99823;[[637, 21, 1, 1], [21, 635, 5, 0], [1, 9, 600, 13], [0, 0, 11, 661]];0.96827;0.96829;0.96827
3;0.00236;00:01:12;0.97324;0.99871;[[642, 18, 0, 0], [18, 637, 6, 0], [1, 6, 606, 10], [0, 0, 11, 661]];0.97324;0.97325;0.97324
4;0.00223;00:01:10;0.97248;0.99892;[[647, 13, 0, 0], [13, 640, 8, 0], [0, 8, 602, 13], [0, 2, 15, 655]];0.97249;0.97250;0.97248
5;0.00224;00:01:13;0.97324;0.99897;[[643, 16, 1, 0], [14, 643, 4, 0], [2, 9, 600, 12], [1, 1, 10, 660]];0.97325;0.97329;0.97324
6;0.00170;00:01:10;0.97783;0.99940;[[650, 10, 0, 0], [9, 644, 7, 1], [0, 8, 608, 7], [1, 1, 14, 656]];0.97784;0.97789;0.97783
7;0.00174;00:01:10;0.98318;0.99923;[[653, 7, 0, 0], [11, 647, 2, 1], [1, 8, 606, 8], [1, 0, 5, 666]];0.98317;0.98321;0.98318
8;0.00134;00:01:09;0.98509;0.99968;[[651, 8, 0, 1], [7, 649, 4, 1], [0, 7, 610, 6], [0, 0, 5, 667]];0.98509;0.98510;0.98509
9;0.00186;00:01:10;0.97630;0.99912;[[655, 5, 0, 0], [9, 641, 9, 2], [0, 11, 599, 13], [0, 2, 11, 659]];0.97628;0.97627;0.97630
10;0.00161;00:01:11;0.98203;0.99944;[[652, 7, 0, 1], [7, 646, 6, 2], [0, 5, 607, 11], [1, 1, 6, 664]];0.98203;0.98204;0.98203
11;0.00168;00:01:10;0.98089;0.99936;[[655, 5, 0, 0], [5, 654, 2, 0], [0, 7, 602, 14], [1, 0, 16, 655]];0.98087;0.98087;0.98089
12;0.00115;00:01:10;0.98777;0.99967;[[654, 6, 0, 0], [7, 649, 5, 0], [0, 5, 615, 3], [0, 0, 6, 666]];0.98777;0.98778;0.98777
13;0.00115;00:01:14;0.98586;0.99976;[[651, 9, 0, 0], [10, 647, 2, 2], [0, 3, 614, 6], [0, 0, 5, 667]];0.98585;0.98585;0.98586
14;0.00138;00:01:09;0.98509;0.99954;[[656, 4, 0, 0], [5, 652, 1, 3], [0, 4, 610, 9], [0, 2, 11, 659]];0.98509;0.98509;0.98509
15;0.00130;00:01:11;0.98433;0.99969;[[653, 7, 0, 0], [5, 652, 3, 1], [0, 1, 609, 13], [0, 3, 8, 661]];0.98433;0.98434;0.98433
16;0.00137;00:01:12;0.98433;0.99962;[[654, 6, 0, 0], [4, 654, 3, 0], [0, 3, 605, 15], [0, 0, 10, 662]];0.98432;0.98434;0.98433
17;0.00115;00:01:09;0.98777;0.99967;[[655, 5, 0, 0], [3, 654, 4, 0], [0, 5, 609, 9], [0, 1, 5, 666]];0.98776;0.98778;0.98777
18;0.00094;00:01:11;0.98853;0.99985;[[655, 5, 0, 0], [6, 653, 1, 1], [0, 4, 612, 7], [0, 0, 6, 666]];0.98853;0.98853;0.98853
19;0.00089;00:01:13;0.99121;0.99984;[[657, 3, 0, 0], [2, 655, 3, 1], [0, 3, 612, 8], [0, 0, 3, 669]];0.99120;0.99122;0.99121
20;0.00120;00:01:10;0.98624;0.99968;[[654, 6, 0, 0], [6, 647, 6, 2], [0, 6, 612, 5], [0, 0, 5, 667]];0.98623;0.98623;0.98624
21;0.00100;00:01:12;0.98891;0.99972;[[653, 7, 0, 0], [4, 653, 3, 1], [0, 2, 613, 8], [0, 0, 4, 668]];0.98891;0.98893;0.98891
22;0.00075;00:01:12;0.99197;0.99991;[[655, 5, 0, 0], [4, 656, 1, 0], [0, 1, 619, 3], [0, 0, 7, 665]];0.99197;0.99199;0.99197
23;0.00133;00:01:11;0.98433;0.99956;[[658, 2, 0, 0], [4, 651, 4, 2], [0, 5, 605, 13], [0, 3, 8, 661]];0.98432;0.98432;0.98433
24;0.00088;00:01:10;0.99197;0.99982;[[658, 1, 0, 1], [1, 657, 3, 0], [0, 1, 615, 7], [0, 0, 7, 665]];0.99198;0.99199;0.99197
25;0.00077;00:01:12;0.99121;0.99987;[[658, 2, 0, 0], [5, 655, 1, 0], [0, 2, 615, 6], [1, 0, 6, 665]];0.99121;0.99121;0.99121
26;0.00106;00:01:13;0.99044;0.99970;[[657, 3, 0, 0], [2, 657, 2, 0], [0, 2, 614, 7], [0, 0, 9, 663]];0.99045;0.99045;0.99044
27;0.00107;00:01:14;0.98853;0.99975;[[657, 3, 0, 0], [3, 655, 3, 0], [0, 2, 611, 10], [0, 1, 8, 663]];0.98853;0.98853;0.98853
28;0.00074;00:01:12;0.99274;0.99986;[[658, 2, 0, 0], [3, 655, 2, 1], [0, 0, 618, 5], [1, 0, 5, 666]];0.99274;0.99275;0.99274
29;0.00074;00:01:11;0.99503;0.99986;[[656, 4, 0, 0], [1, 658, 2, 0], [1, 2, 619, 1], [0, 0, 2, 670]];0.99503;0.99504;0.99503
30;0.00095;00:01:12;0.98739;0.99982;[[654, 6, 0, 0], [5, 652, 4, 0], [0, 1, 612, 10], [0, 1, 6, 665]];0.98739;0.98739;0.98739
31;0.00112;00:01:13;0.98930;0.99955;[[653, 6, 0, 1], [7, 653, 1, 0], [0, 0, 618, 5], [0, 0, 8, 664]];0.98930;0.98930;0.98930
32;0.00065;00:01:11;0.99274;0.99993;[[656, 4, 0, 0], [3, 656, 2, 0], [0, 1, 617, 5], [0, 1, 3, 668]];0.99274;0.99274;0.99274
33;0.00040;00:01:12;0.99541;0.99996;[[660, 0, 0, 0], [1, 659, 1, 0], [0, 1, 618, 4], [0, 1, 4, 667]];0.99541;0.99541;0.99541
34;0.00050;00:01:12;0.99503;0.99995;[[659, 0, 0, 1], [0, 660, 1, 0], [0, 1, 617, 5], [0, 0, 5, 667]];0.99503;0.99503;0.99503
35;0.00092;00:01:12;0.98968;0.99978;[[655, 5, 0, 0], [5, 656, 0, 0], [0, 1, 615, 7], [0, 1, 8, 663]];0.98968;0.98968;0.98968
36;0.00059;00:01:14;0.99350;0.99994;[[658, 2, 0, 0], [2, 657, 2, 0], [0, 1, 616, 6], [0, 0, 4, 668]];0.99350;0.99350;0.99350
37;0.00067;00:01:09;0.99312;0.99989;[[659, 1, 0, 0], [1, 657, 2, 1], [0, 3, 616, 4], [0, 0, 6, 666]];0.99312;0.99312;0.99312
38;0.00043;00:01:10;0.99580;0.99998;[[659, 1, 0, 0], [1, 659, 1, 0], [0, 1, 618, 4], [0, 1, 2, 669]];0.99579;0.99580;0.99580
39;0.00069;00:01:12;0.99274;0.99991;[[656, 3, 0, 1], [4, 656, 1, 0], [1, 2, 616, 4], [0, 0, 3, 669]];0.99274;0.99274;0.99274
