epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00296;00:01:49;0.96407;0.99807;[[641, 17, 1, 1], [16, 633, 10, 2], [2, 16, 592, 13], [2, 1, 13, 656]];0.96407;0.96409;0.96407
1;0.00354;00:01:51;0.96024;0.99705;[[642, 15, 1, 2], [15, 626, 14, 6], [2, 11, 593, 17], [0, 5, 16, 651]];0.96024;0.96024;0.96024
2;0.00327;00:01:48;0.96445;0.99761;[[639, 17, 3, 1], [18, 631, 11, 1], [0, 11, 596, 16], [1, 0, 14, 657]];0.96444;0.96444;0.96445
3;0.00221;00:01:51;0.97515;0.99903;[[644, 11, 5, 0], [12, 645, 3, 1], [0, 6, 604, 13], [1, 2, 11, 658]];0.97516;0.97516;0.97515
4;0.00219;00:01:48;0.97783;0.99885;[[649, 8, 2, 1], [12, 645, 4, 0], [0, 6, 604, 13], [1, 0, 11, 660]];0.97782;0.97782;0.97783
5;0.00112;00:01:49;0.98930;0.99983;[[652, 7, 1, 0], [4, 656, 1, 0], [1, 0, 614, 8], [0, 2, 4, 666]];0.98930;0.98931;0.98930
6;0.00073;00:01:47;0.99388;0.99991;[[654, 6, 0, 0], [4, 655, 2, 0], [0, 1, 620, 2], [1, 0, 0, 671]];0.99388;0.99388;0.99388
7;0.00059;00:01:45;0.99503;0.99997;[[656, 3, 1, 0], [4, 655, 2, 0], [0, 1, 621, 1], [0, 0, 1, 671]];0.99503;0.99503;0.99503
8;0.00067;00:01:47;0.99503;0.99986;[[657, 3, 0, 0], [3, 656, 2, 0], [0, 1, 620, 2], [0, 0, 2, 670]];0.99503;0.99503;0.99503
9;0.00029;00:01:45;0.99924;1.00000;[[660, 0, 0, 0], [1, 659, 1, 0], [0, 0, 623, 0], [0, 0, 0, 672]];0.99924;0.99924;0.99924
10;0.00023;00:01:50;0.99924;1.00000;[[659, 0, 0, 1], [0, 660, 0, 1], [0, 0, 623, 0], [0, 0, 0, 672]];0.99924;0.99924;0.99924
11;0.00023;00:01:45;0.99924;0.99999;[[659, 1, 0, 0], [1, 660, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];0.99924;0.99924;0.99924
12;0.00014;00:01:46;0.99962;1.00000;[[659, 1, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];0.99962;0.99962;0.99962
13;0.00012;00:01:34;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
14;0.00009;00:01:39;0.99962;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 1, 622, 0], [0, 0, 0, 672]];0.99962;0.99962;0.99962
15;0.00011;00:01:46;0.99962;1.00000;[[660, 0, 0, 0], [0, 660, 1, 0], [0, 0, 623, 0], [0, 0, 0, 672]];0.99962;0.99962;0.99962
16;0.00009;00:01:43;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
17;0.00007;00:01:34;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
18;0.00008;00:01:39;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
19;0.00008;00:01:48;0.99962;1.00000;[[660, 0, 0, 0], [0, 660, 1, 0], [0, 0, 623, 0], [0, 0, 0, 672]];0.99962;0.99962;0.99962
20;0.00008;00:01:50;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
21;0.00005;00:01:46;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
22;0.00008;00:01:44;0.99962;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 1, 622, 0], [0, 0, 0, 672]];0.99962;0.99962;0.99962
23;0.00006;00:01:49;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
24;0.00004;00:01:47;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
25;0.00006;00:01:48;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
26;0.00004;00:01:48;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
27;0.00004;00:01:47;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
28;0.00006;00:01:43;0.99962;1.00000;[[659, 1, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];0.99962;0.99962;0.99962
29;0.00004;00:01:45;1.00000;1.00000;[[660, 0, 0, 0], [0, 661, 0, 0], [0, 0, 623, 0], [0, 0, 0, 672]];1.00000;1.00000;1.00000
