epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.04312;00:01:08;0.30402;0.55963;[[333, 197, 59, 71], [268, 282, 38, 73], [227, 299, 18, 79], [122, 358, 29, 162]];0.27365;0.28897;0.30402
1;0.04157;00:01:09;0.44092;0.67741;[[477, 111, 24, 48], [320, 172, 35, 134], [201, 184, 29, 209], [73, 101, 22, 475]];0.38730;0.39250;0.44092
2;0.03962;00:01:10;0.47380;0.73281;[[515, 84, 20, 41], [308, 149, 43, 161], [173, 145, 35, 270], [48, 63, 20, 540]];0.40808;0.41749;0.47380
3;0.03732;00:01:09;0.50019;0.76690;[[538, 61, 12, 49], [309, 150, 49, 153], [137, 145, 57, 284], [34, 50, 24, 563]];0.43640;0.46012;0.50019
4;0.03493;00:01:12;0.53308;0.78973;[[542, 65, 17, 36], [277, 180, 70, 134], [118, 129, 108, 268], [19, 57, 31, 564]];0.48625;0.50694;0.53308
5;0.03353;00:01:11;0.52505;0.79087;[[532, 70, 32, 26], [245, 179, 131, 106], [101, 151, 130, 241], [21, 53, 65, 532]];0.48986;0.48659;0.52505
6;0.03214;00:01:11;0.55411;0.80534;[[530, 88, 22, 20], [236, 227, 114, 84], [85, 158, 168, 212], [10, 58, 79, 524]];0.52971;0.52799;0.55411
7;0.03134;00:01:11;0.55679;0.80752;[[517, 96, 30, 17], [216, 229, 145, 71], [75, 163, 184, 201], [9, 51, 85, 526]];0.53699;0.53144;0.55679
8;0.03035;00:01:11;0.57247;0.82251;[[517, 101, 26, 16], [198, 260, 139, 64], [58, 177, 192, 196], [18, 47, 78, 528]];0.55552;0.55097;0.57247
9;0.02929;00:01:10;0.59732;0.83360;[[505, 117, 22, 16], [193, 283, 123, 62], [53, 178, 227, 165], [7, 48, 69, 547]];0.58473;0.58272;0.59732
10;0.02829;00:01:10;0.60841;0.84593;[[508, 115, 28, 9], [175, 306, 133, 47], [41, 171, 243, 168], [5, 35, 97, 534]];0.59951;0.59556;0.60841
11;0.02729;00:01:10;0.62180;0.85811;[[500, 132, 18, 10], [177, 319, 130, 35], [34, 168, 262, 159], [3, 37, 86, 545]];0.61467;0.61222;0.62180
12;0.02664;00:01:11;0.63403;0.86450;[[501, 126, 22, 11], [161, 347, 113, 40], [26, 179, 266, 152], [3, 40, 84, 544]];0.62812;0.62727;0.63403
