epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01618;00:01:09;0.82486;0.95364;[[577, 75, 5, 3], [88, 513, 53, 8], [5, 66, 470, 81], [3, 12, 59, 597]];0.82430;0.82417;0.82486
1;0.01097;00:01:06;0.87342;0.97603;[[601, 52, 4, 3], [60, 547, 47, 8], [1, 47, 527, 47], [3, 6, 53, 609]];0.87340;0.87342;0.87342
2;0.00867;00:01:07;0.90134;0.98436;[[618, 39, 1, 2], [46, 583, 28, 5], [1, 41, 535, 45], [3, 5, 42, 621]];0.90122;0.90120;0.90134
3;0.00734;00:01:08;0.91816;0.98850;[[616, 41, 1, 2], [39, 585, 30, 8], [1, 29, 563, 29], [1, 4, 29, 637]];0.91813;0.91811;0.91816
4;0.00595;00:01:09;0.93346;0.99300;[[619, 39, 2, 0], [26, 617, 18, 1], [3, 21, 572, 26], [1, 2, 35, 633]];0.93358;0.93386;0.93346
5;0.00506;00:01:08;0.94455;0.99473;[[635, 23, 2, 0], [33, 607, 21, 1], [1, 21, 577, 23], [0, 1, 19, 651]];0.94447;0.94444;0.94455
6;0.00483;00:01:08;0.94149;0.99506;[[632, 27, 0, 1], [31, 606, 24, 1], [1, 17, 577, 27], [0, 1, 23, 647]];0.94143;0.94141;0.94149
7;0.00403;00:01:09;0.95755;0.99688;[[627, 31, 1, 1], [26, 624, 10, 2], [1, 8, 599, 14], [0, 1, 16, 654]];0.95755;0.95757;0.95755
8;0.00290;00:01:09;0.97476;0.99850;[[642, 18, 0, 0], [11, 640, 10, 1], [0, 7, 606, 9], [0, 0, 10, 661]];0.97477;0.97481;0.97476
9;0.00257;00:01:08;0.97820;0.99881;[[647, 12, 1, 0], [10, 646, 6, 0], [0, 6, 607, 9], [0, 1, 12, 658]];0.97822;0.97824;0.97820
10;0.00246;00:01:09;0.97553;0.99885;[[643, 17, 0, 0], [19, 635, 8, 0], [0, 5, 606, 11], [0, 1, 3, 667]];0.97550;0.97550;0.97553
11;0.00224;00:01:08;0.98088;0.99921;[[652, 7, 0, 1], [13, 643, 6, 0], [0, 4, 611, 7], [0, 1, 11, 659]];0.98088;0.98091;0.98088
12;0.00180;00:01:09;0.98585;0.99949;[[654, 6, 0, 0], [6, 650, 4, 2], [1, 3, 612, 6], [0, 2, 7, 662]];0.98585;0.98585;0.98585
13;0.00161;00:01:08;0.98662;0.99965;[[653, 7, 0, 0], [10, 647, 5, 0], [0, 3, 615, 4], [0, 0, 6, 665]];0.98661;0.98663;0.98662
14;0.00156;00:01:07;0.98700;0.99955;[[650, 10, 0, 0], [10, 648, 4, 0], [1, 5, 614, 2], [0, 0, 2, 669]];0.98700;0.98701;0.98700
15;0.00140;00:01:07;0.99082;0.99968;[[652, 8, 0, 0], [1, 656, 4, 1], [0, 3, 614, 5], [0, 1, 1, 669]];0.99083;0.99086;0.99082
16;0.00149;00:01:09;0.98585;0.99957;[[656, 4, 0, 0], [12, 645, 5, 0], [0, 5, 611, 6], [0, 0, 5, 666]];0.98584;0.98586;0.98585
17;0.00132;00:01:10;0.98509;0.99968;[[652, 8, 0, 0], [8, 650, 4, 0], [0, 6, 609, 7], [0, 0, 6, 665]];0.98508;0.98509;0.98509
18;0.00111;00:01:09;0.99006;0.99983;[[653, 7, 0, 0], [5, 654, 3, 0], [0, 3, 615, 4], [0, 0, 4, 667]];0.99006;0.99006;0.99006
19;0.00098;00:01:08;0.99082;0.99989;[[656, 4, 0, 0], [2, 655, 5, 0], [0, 8, 613, 1], [1, 0, 3, 667]];0.99083;0.99085;0.99082
20;0.00078;00:01:09;0.99541;0.99996;[[658, 2, 0, 0], [1, 659, 2, 0], [0, 1, 619, 2], [1, 0, 3, 667]];0.99541;0.99541;0.99541
21;0.00066;00:01:07;0.99618;0.99997;[[659, 1, 0, 0], [1, 660, 1, 0], [0, 3, 617, 2], [0, 1, 1, 669]];0.99618;0.99618;0.99618
22;0.00078;00:01:10;0.99503;0.99993;[[658, 2, 0, 0], [3, 656, 2, 1], [0, 0, 620, 2], [0, 1, 2, 668]];0.99503;0.99503;0.99503
23;0.00064;00:01:08;0.99694;0.99995;[[659, 1, 0, 0], [2, 659, 0, 1], [0, 1, 620, 1], [0, 0, 2, 669]];0.99694;0.99694;0.99694
24;0.00060;00:01:07;0.99579;0.99995;[[657, 3, 0, 0], [1, 659, 1, 1], [0, 1, 619, 2], [0, 0, 2, 669]];0.99579;0.99580;0.99579
25;0.00062;00:01:09;0.99579;0.99996;[[660, 0, 0, 0], [1, 657, 4, 0], [0, 1, 619, 2], [0, 0, 3, 668]];0.99580;0.99581;0.99579
26;0.00050;00:01:07;0.99503;0.99997;[[657, 3, 0, 0], [2, 659, 1, 0], [0, 1, 619, 2], [0, 1, 3, 667]];0.99503;0.99503;0.99503
