epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00296;00:03:21;0.66100;0.81809;[[31, 588, 39, 5], [12, 1941, 614, 13], [4, 728, 3617, 26], [0, 154, 690, 13]];0.60701;0.62434;0.66100
1;0.00226;00:03:20;0.69805;0.85877;[[173, 468, 18, 4], [111, 1907, 546, 16], [7, 506, 3696, 166], [0, 46, 671, 140]];0.67319;0.67521;0.69805
2;0.00203;00:03:18;0.70796;0.87360;[[245, 402, 15, 1], [162, 1883, 525, 10], [8, 499, 3645, 223], [2, 31, 597, 227]];0.69380;0.69287;0.70796
3;0.00191;00:03:17;0.71457;0.88322;[[270, 378, 14, 1], [184, 1885, 506, 5], [9, 479, 3659, 228], [1, 26, 588, 242]];0.70203;0.70048;0.71457
4;0.00183;00:03:18;0.72873;0.88695;[[317, 333, 13, 0], [167, 1903, 503, 7], [5, 473, 3669, 228], [1, 28, 541, 287]];0.71924;0.71864;0.72873
5;0.00179;00:03:17;0.73263;0.89077;[[312, 336, 15, 0], [186, 1915, 473, 6], [3, 458, 3668, 246], [1, 24, 518, 314]];0.72448;0.72314;0.73263
6;0.00177;00:03:18;0.73310;0.89320;[[308, 341, 13, 1], [186, 1910, 479, 5], [4, 453, 3686, 232], [1, 28, 519, 309]];0.72439;0.72335;0.73310
7;0.00169;00:03:18;0.73770;0.89717;[[323, 328, 11, 1], [181, 1919, 476, 4], [3, 450, 3677, 245], [2, 23, 499, 333]];0.73038;0.72925;0.73770
8;0.00166;00:03:16;0.74419;0.90064;[[345, 304, 14, 0], [185, 1933, 458, 4], [4, 436, 3690, 245], [1, 18, 499, 339]];0.73740;0.73610;0.74419
9;0.00163;00:03:16;0.74891;0.90195;[[347, 302, 13, 1], [186, 1928, 459, 7], [5, 423, 3712, 235], [1, 24, 472, 360]];0.74270;0.74154;0.74891
10;0.00167;00:03:16;0.74077;0.89982;[[353, 298, 12, 0], [189, 1903, 483, 5], [3, 462, 3647, 263], [1, 24, 457, 375]];0.73581;0.73452;0.74077
11;0.00166;00:03:15;0.74395;0.90040;[[348, 300, 13, 2], [201, 1912, 461, 6], [4, 445, 3680, 246], [2, 30, 460, 365]];0.73841;0.73703;0.74395
12;0.00163;00:03:16;0.74348;0.90179;[[360, 290, 12, 1], [206, 1878, 492, 4], [3, 451, 3673, 248], [3, 22, 442, 390]];0.73883;0.73754;0.74348
13;0.00160;00:03:18;0.74950;0.90455;[[356, 290, 16, 1], [193, 1912, 473, 2], [5, 429, 3701, 240], [2, 20, 452, 383]];0.74423;0.74310;0.74950
14;0.00160;00:03:19;0.74690;0.90548;[[348, 301, 14, 0], [182, 1924, 472, 2], [5, 440, 3669, 261], [4, 24, 440, 389]];0.74206;0.74085;0.74690
15;0.00159;00:03:18;0.75150;0.90490;[[347, 303, 13, 0], [191, 1910, 475, 4], [5, 431, 3707, 232], [3, 27, 422, 405]];0.74668;0.74578;0.75150
16;0.00161;00:03:17;0.74549;0.90481;[[355, 294, 14, 0], [202, 1884, 489, 5], [5, 430, 3705, 235], [2, 22, 459, 374]];0.73991;0.73873;0.74549
17;0.00159;00:03:17;0.74596;0.90539;[[359, 292, 11, 1], [197, 1891, 490, 2], [3, 436, 3675, 261], [1, 25, 434, 397]];0.74150;0.74013;0.74596
18;0.00157;00:03:16;0.75375;0.90714;[[369, 281, 13, 0], [198, 1901, 475, 6], [6, 423, 3714, 232], [3, 24, 426, 404]];0.74922;0.74815;0.75375
19;0.00158;00:03:17;0.75186;0.90682;[[358, 294, 11, 0], [191, 1892, 493, 4], [5, 422, 3718, 230], [1, 28, 424, 404]];0.74701;0.74611;0.75186
20;0.00155;00:03:15;0.75044;0.90689;[[359, 292, 12, 0], [194, 1893, 490, 3], [3, 426, 3698, 248], [1, 26, 420, 410]];0.74604;0.74488;0.75044
21;0.00154;00:03:18;0.75209;0.90770;[[375, 276, 12, 0], [191, 1895, 490, 4], [6, 429, 3702, 238], [1, 23, 431, 402]];0.74759;0.74656;0.75209
22;0.00155;00:03:19;0.75422;0.90812;[[374, 280, 9, 0], [207, 1879, 491, 3], [6, 419, 3713, 237], [2, 21, 408, 426]];0.75034;0.74923;0.75422
23;0.00151;00:03:20;0.75504;0.90960;[[385, 267, 11, 0], [200, 1895, 482, 3], [4, 428, 3704, 239], [1, 20, 421, 415]];0.75106;0.75000;0.75504
24;0.00149;00:03:19;0.76047;0.91136;[[382, 271, 10, 0], [193, 1907, 477, 3], [4, 406, 3728, 237], [2, 21, 406, 428]];0.75659;0.75555;0.76047
25;0.00151;00:03:18;0.75799;0.91050;[[378, 278, 7, 0], [190, 1896, 490, 4], [3, 421, 3724, 227], [1, 25, 405, 426]];0.75395;0.75313;0.75799
26;0.00147;00:03:18;0.75870;0.91357;[[377, 277, 8, 1], [213, 1900, 465, 2], [4, 430, 3719, 222], [2, 25, 396, 434]];0.75509;0.75429;0.75870
27;0.00145;00:03:16;0.76283;0.91394;[[390, 262, 11, 0], [195, 1913, 468, 4], [2, 410, 3726, 237], [1, 19, 401, 436]];0.75927;0.75825;0.76283
28;0.00145;00:03:16;0.76260;0.91500;[[389, 265, 9, 0], [204, 1910, 462, 4], [4, 412, 3724, 235], [1, 18, 398, 440]];0.75921;0.75818;0.76260
29;0.00144;00:03:16;0.76165;0.91515;[[376, 278, 8, 1], [193, 1904, 483, 0], [4, 423, 3727, 221], [1, 21, 387, 448]];0.75807;0.75739;0.76165
30;0.00142;00:03:17;0.76673;0.91701;[[390, 263, 10, 0], [194, 1935, 449, 2], [2, 416, 3735, 222], [2, 23, 394, 438]];0.76315;0.76242;0.76673
31;0.00142;00:03:19;0.76319;0.91625;[[390, 265, 7, 1], [197, 1913, 469, 1], [3, 412, 3721, 239], [1, 22, 390, 444]];0.75989;0.75889;0.76319
32;0.00142;00:03:18;0.76212;0.91650;[[394, 261, 8, 0], [192, 1907, 478, 3], [4, 417, 3718, 236], [1, 20, 396, 440]];0.75873;0.75778;0.76212
33;0.00141;00:03:15;0.77038;0.91753;[[380, 274, 9, 0], [186, 1937, 456, 1], [4, 404, 3754, 213], [1, 20, 378, 458]];0.76689;0.76632;0.77038
34;0.00138;00:03:16;0.76649;0.91910;[[390, 267, 6, 0], [197, 1920, 461, 2], [3, 412, 3735, 225], [1, 21, 384, 451]];0.76322;0.76241;0.76649
35;0.00137;00:03:15;0.76920;0.91979;[[408, 243, 10, 2], [198, 1921, 459, 2], [1, 405, 3739, 230], [1, 20, 385, 451]];0.76610;0.76519;0.76920
36;0.00139;00:03:17;0.76814;0.91976;[[393, 262, 7, 1], [194, 1934, 450, 2], [1, 405, 3741, 228], [1, 21, 393, 442]];0.76468;0.76380;0.76814
37;0.00137;00:03:19;0.77086;0.92057;[[405, 249, 7, 2], [180, 1948, 450, 2], [2, 414, 3729, 230], [1, 19, 386, 451]];0.76776;0.76698;0.77086
38;0.00136;00:03:17;0.77121;0.92115;[[394, 259, 10, 0], [186, 1952, 440, 2], [1, 415, 3735, 224], [1, 21, 380, 455]];0.76806;0.76738;0.77121
39;0.00136;00:03:15;0.77050;0.91921;[[402, 254, 6, 1], [190, 1949, 439, 2], [2, 409, 3725, 239], [1, 21, 381, 454]];0.76761;0.76669;0.77050
40;0.00137;00:03:16;0.76684;0.91926;[[394, 258, 11, 0], [189, 1923, 465, 3], [4, 407, 3731, 233], [2, 21, 383, 451]];0.76362;0.76271;0.76684
41;0.00134;00:03:17;0.77204;0.92159;[[401, 252, 10, 0], [178, 1948, 451, 3], [2, 403, 3736, 234], [1, 20, 378, 458]];0.76900;0.76818;0.77204
42;0.00133;00:03:17;0.77463;0.92231;[[404, 251, 7, 1], [180, 1948, 449, 3], [1, 403, 3746, 225], [1, 19, 370, 467]];0.77174;0.77100;0.77463
43;0.00131;00:03:16;0.77251;0.92279;[[395, 260, 7, 1], [174, 1952, 452, 2], [2, 399, 3744, 230], [2, 20, 379, 456]];0.76928;0.76853;0.77251
44;0.00132;00:03:17;0.77770;0.92301;[[410, 244, 8, 1], [190, 1959, 430, 1], [2, 388, 3760, 225], [1, 23, 371, 462]];0.77478;0.77396;0.77770
45;0.00131;00:03:16;0.77652;0.92420;[[397, 257, 8, 1], [177, 1976, 425, 2], [3, 388, 3757, 227], [2, 21, 383, 451]];0.77320;0.77240;0.77652
46;0.00131;00:03:17;0.77652;0.92369;[[413, 242, 6, 2], [176, 1968, 434, 2], [2, 397, 3744, 232], [1, 21, 379, 456]];0.77358;0.77275;0.77652
47;0.00129;00:03:16;0.77994;0.92582;[[405, 250, 7, 1], [192, 1957, 426, 5], [2, 395, 3774, 204], [1, 16, 366, 474]];0.77706;0.77647;0.77994
48;0.00129;00:03:15;0.77416;0.92503;[[390, 265, 7, 1], [181, 1958, 438, 3], [2, 396, 3746, 231], [0, 23, 367, 467]];0.77119;0.77039;0.77416
49;0.00129;00:03:18;0.78183;0.92575;[[405, 250, 7, 1], [175, 1969, 434, 2], [1, 391, 3768, 215], [0, 19, 354, 484]];0.77912;0.77853;0.78183
