epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00077;00:05:57;0.96555;0.99338;[[16277, 640], [528, 16461]];0.96574;0.96258;0.96892
1;0.00042;00:09:34;0.98115;0.99784;[[16503, 367], [272, 16764]];0.98130;0.97858;0.98403
2;0.00032;00:08:21;0.98649;0.99861;[[16808, 266], [192, 16640]];0.98642;0.98427;0.98859
3;0.00033;00:06:51;0.98546;0.99856;[[16584, 287], [206, 16829]];0.98556;0.98323;0.98791
4;0.00032;00:08:54;0.98670;0.99866;[[16620, 258], [193, 16835]];0.98678;0.98491;0.98867
5;0.00031;00:09:16;0.98693;0.99875;[[16682, 258], [185, 16781]];0.98697;0.98486;0.98910
6;0.00032;00:07:45;0.98634;0.99869;[[16747, 254], [209, 16696]];0.98632;0.98501;0.98764
7;0.00018;00:09:48;0.99328;0.99953;[[16797, 139], [89, 16881]];0.99329;0.99183;0.99476
8;0.00006;00:10:18;0.99841;0.99983;[[16875, 43], [11, 16977]];0.99841;0.99747;0.99935
9;0.00003;00:10:40;0.99920;0.99993;[[17043, 21], [6, 16836]];0.99920;0.99875;0.99964
10;0.00002;00:09:47;0.99950;0.99998;[[16918, 12], [5, 16971]];0.99950;0.99929;0.99971
11;0.00002;00:08:27;0.99932;0.99999;[[16959, 17], [6, 16924]];0.99932;0.99900;0.99965
12;0.00001;00:09:50;0.99947;1.00000;[[17091, 13], [5, 16797]];0.99946;0.99923;0.99970
13;0.00001;00:08:58;0.99962;0.99999;[[16955, 6], [7, 16938]];0.99962;0.99965;0.99959
14;0.00001;00:08:21;0.99968;1.00000;[[16836, 6], [5, 17059]];0.99968;0.99965;0.99971
15;0.00001;00:07:16;0.99976;1.00000;[[17089, 5], [3, 16809]];0.99976;0.99970;0.99982
16;0.00001;00:09:50;0.99956;1.00000;[[16932, 10], [5, 16959]];0.99956;0.99941;0.99971
17;0.00001;00:09:03;0.99985;1.00000;[[16975, 4], [1, 16926]];0.99985;0.99976;0.99994
18;0.00001;00:07:29;0.99976;1.00000;[[16984, 4], [4, 16914]];0.99976;0.99976;0.99976
19;0.00001;00:07:23;0.99979;1.00000;[[16830, 5], [2, 17069]];0.99980;0.99971;0.99988
20;0.00001;00:08:16;0.99976;1.00000;[[17231, 8], [0, 16667]];0.99976;0.99952;1.00000
21;0.00001;00:07:36;0.99962;1.00000;[[16979, 13], [0, 16914]];0.99962;0.99923;1.00000
22;0.00001;00:08:55;0.99973;1.00000;[[17103, 7], [2, 16794]];0.99973;0.99958;0.99988
23;0.00001;00:11:16;0.99985;1.00000;[[16882, 5], [0, 17019]];0.99985;0.99971;1.00000
24;0.00001;00:08:37;0.99965;1.00000;[[16965, 11], [1, 16929]];0.99965;0.99935;0.99994
25;0.00001;00:07:27;0.99959;1.00000;[[16830, 12], [2, 17062]];0.99959;0.99930;0.99988
26;0.00001;00:06:54;0.99965;1.00000;[[16912, 8], [4, 16982]];0.99965;0.99953;0.99976
27;0.00001;00:08:51;0.99976;1.00000;[[16845, 8], [0, 17053]];0.99977;0.99953;1.00000
28;0.00001;00:08:36;0.99976;1.00000;[[16908, 6], [2, 16990]];0.99976;0.99965;0.99988
29;0.00001;00:08:35;0.99965;1.00000;[[16973, 12], [0, 16921]];0.99965;0.99929;1.00000
