epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00906;00:01:11;0.82336;0.88928;[[6531, 1643], [1259, 6996]];0.82822;0.80982;0.84749
1;0.00572;00:01:10;0.89239;0.95295;[[7233, 1018], [750, 7428]];0.89365;0.87947;0.90829
2;0.00430;00:01:11;0.92404;0.97326;[[7493, 704], [544, 7688]];0.92493;0.91611;0.93392
3;0.00344;00:01:10;0.93871;0.98243;[[7613, 546], [461, 7809]];0.93943;0.93465;0.94426
4;0.00273;00:01:14;0.95131;0.98882;[[7737, 463], [337, 7892]];0.95176;0.94458;0.95905
5;0.00214;00:01:12;0.96433;0.99294;[[7991, 334], [252, 7852]];0.96403;0.95920;0.96890
6;0.00181;00:01:11;0.96817;0.99502;[[7990, 285], [238, 7916]];0.96802;0.96525;0.97081
7;0.00099;00:01:12;0.98454;0.99845;[[7944, 141], [113, 8231]];0.98480;0.98316;0.98646
8;0.00039;00:01:12;0.99562;0.99973;[[8270, 46], [26, 8087]];0.99557;0.99434;0.99680
9;0.00021;00:01:11;0.99781;0.99990;[[8185, 30], [6, 8208]];0.99781;0.99636;0.99927
10;0.00012;00:01:11;0.99933;0.99999;[[8200, 9], [2, 8218]];0.99933;0.99891;0.99976
11;0.00007;00:01:13;0.99951;1.00000;[[8305, 6], [2, 8116]];0.99951;0.99926;0.99975
12;0.00005;00:01:12;0.99951;1.00000;[[8196, 5], [3, 8225]];0.99951;0.99939;0.99964
13;0.00004;00:01:11;0.99976;1.00000;[[8181, 4], [0, 8244]];0.99976;0.99952;1.00000
14;0.00006;00:01:12;0.99970;0.99998;[[8188, 2], [3, 8236]];0.99970;0.99976;0.99964
15;0.00004;00:01:12;0.99994;1.00000;[[8143, 0], [1, 8285]];0.99994;1.00000;0.99988
16;0.00003;00:01:11;0.99988;1.00000;[[8305, 2], [0, 8122]];0.99988;0.99975;1.00000
17;0.00003;00:01:12;0.99994;1.00000;[[8193, 1], [0, 8235]];0.99994;0.99988;1.00000
18;0.00003;00:01:12;0.99982;1.00000;[[8283, 2], [1, 8143]];0.99982;0.99975;0.99988
19;0.00003;00:01:12;0.99988;1.00000;[[8234, 2], [0, 8193]];0.99988;0.99976;1.00000
20;0.00003;00:01:11;0.99982;1.00000;[[8275, 2], [1, 8151]];0.99982;0.99975;0.99988
21;0.00003;00:01:12;1.00000;1.00000;[[8261, 0], [0, 8168]];1.00000;1.00000;1.00000
22;0.00003;00:01:10;0.99988;1.00000;[[8237, 2], [0, 8190]];0.99988;0.99976;1.00000
23;0.00003;00:01:11;0.99994;1.00000;[[8069, 0], [1, 8359]];0.99994;1.00000;0.99988
24;0.00003;00:01:12;0.99982;1.00000;[[8344, 2], [1, 8082]];0.99981;0.99975;0.99988
25;0.00002;00:01:11;1.00000;1.00000;[[8262, 0], [0, 8167]];1.00000;1.00000;1.00000
26;0.00002;00:01:11;0.99994;1.00000;[[8299, 1], [0, 8129]];0.99994;0.99988;1.00000
27;0.00003;00:01:11;0.99982;1.00000;[[8216, 3], [0, 8210]];0.99982;0.99963;1.00000
28;0.00003;00:01:12;0.99994;1.00000;[[8276, 1], [0, 8152]];0.99994;0.99988;1.00000
29;0.00003;00:01:12;0.99988;1.00000;[[8392, 2], [0, 8035]];0.99988;0.99975;1.00000
