epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.01187;00:00:15;0.76471;0.82908;[[1456, 471], [429, 1469]];0.76550;0.75722;0.77397
1;0.00562;00:00:15;0.89961;0.95614;[[1732, 197], [187, 1709]];0.89900;0.89664;0.90137
2;0.00367;00:00:15;0.93464;0.98144;[[1803, 139], [111, 1772]];0.93411;0.92726;0.94105
3;0.00301;00:00:15;0.94719;0.98687;[[1778, 105], [97, 1845]];0.94810;0.94615;0.95005
4;0.00262;00:00:15;0.95033;0.99038;[[1827, 95], [95, 1808]];0.95008;0.95008;0.95008
5;0.00259;00:00:15;0.95242;0.99031;[[1829, 91], [91, 1814]];0.95223;0.95223;0.95223
6;0.00193;00:00:15;0.96575;0.99447;[[1818, 71], [60, 1876]];0.96626;0.96353;0.96901
7;0.00099;00:00:15;0.98641;0.99873;[[1908, 34], [18, 1865]];0.98625;0.98210;0.99044
8;0.00050;00:00:14;0.99477;0.99948;[[1910, 12], [8, 1895]];0.99475;0.99371;0.99580
9;0.00025;00:00:15;0.99765;0.99999;[[1935, 6], [3, 1881]];0.99761;0.99682;0.99841
10;0.00019;00:00:15;0.99869;0.99999;[[1955, 4], [1, 1865]];0.99866;0.99786;0.99946
11;0.00015;00:00:16;0.99922;0.99991;[[1941, 3], [0, 1881]];0.99920;0.99841;1.00000
12;0.00008;00:00:15;1.00000;1.00000;[[1878, 0], [0, 1947]];1.00000;1.00000;1.00000
13;0.00009;00:00:14;0.99974;1.00000;[[1896, 0], [1, 1928]];0.99974;1.00000;0.99948
14;0.00008;00:00:15;1.00000;1.00000;[[1920, 0], [0, 1905]];1.00000;1.00000;1.00000
15;0.00008;00:00:15;0.99974;1.00000;[[1891, 1], [0, 1933]];0.99974;0.99948;1.00000
16;0.00009;00:00:15;0.99974;1.00000;[[1931, 1], [0, 1893]];0.99974;0.99947;1.00000
17;0.00009;00:00:15;0.99974;1.00000;[[1919, 1], [0, 1905]];0.99974;0.99948;1.00000
18;0.00008;00:00:15;0.99922;1.00000;[[1894, 2], [1, 1928]];0.99922;0.99896;0.99948
19;0.00006;00:00:15;1.00000;1.00000;[[1939, 0], [0, 1886]];1.00000;1.00000;1.00000
20;0.00006;00:00:15;1.00000;1.00000;[[1904, 0], [0, 1921]];1.00000;1.00000;1.00000
21;0.00006;00:00:15;1.00000;1.00000;[[1916, 0], [0, 1909]];1.00000;1.00000;1.00000
22;0.00007;00:00:14;0.99974;1.00000;[[1876, 0], [1, 1948]];0.99974;1.00000;0.99949
23;0.00007;00:00:15;1.00000;1.00000;[[1922, 0], [0, 1903]];1.00000;1.00000;1.00000
24;0.00006;00:00:15;1.00000;1.00000;[[1910, 0], [0, 1915]];1.00000;1.00000;1.00000
25;0.00005;00:00:16;1.00000;1.00000;[[1906, 0], [0, 1919]];1.00000;1.00000;1.00000
26;0.00006;00:00:15;1.00000;1.00000;[[1965, 0], [0, 1860]];1.00000;1.00000;1.00000
27;0.00006;00:00:15;1.00000;1.00000;[[1950, 0], [0, 1875]];1.00000;1.00000;1.00000
28;0.00006;00:00:15;1.00000;1.00000;[[1884, 0], [0, 1941]];1.00000;1.00000;1.00000
29;0.00006;00:00:15;1.00000;1.00000;[[1901, 0], [0, 1924]];1.00000;1.00000;1.00000
