epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.05460;1733809711;0.53205;0.62093;[[149, 20], [126, 17]];0.18889;0.45946;0.11888
1;0.05434;1733809719;0.58333;0.70767;[[153, 6], [124, 29]];0.30851;0.82857;0.18954
2;0.05527;1733809728;0.62179;0.70352;[[145, 14], [104, 49]];0.45370;0.77778;0.32026
3;0.05710;1733809740;0.49679;0.58619;[[127, 21], [136, 28]];0.26291;0.57143;0.17073
4;0.05663;1733809748;0.57692;0.60302;[[163, 8], [124, 17]];0.20482;0.68000;0.12057
5;0.05508;1733809758;0.53526;0.59106;[[147, 10], [135, 20]];0.21622;0.66667;0.12903
6;0.05580;1733809766;0.55769;0.61477;[[140, 17], [121, 34]];0.33010;0.66667;0.21935
7;0.05561;1733809775;0.54167;0.61462;[[125, 19], [124, 44]];0.38095;0.69841;0.26190
8;0.05498;1733809783;0.58013;0.65558;[[145, 18], [113, 36]];0.35468;0.66667;0.24161
9;0.05488;1733809791;0.59295;0.62638;[[147, 15], [112, 38]];0.37438;0.71698;0.25333
10;0.05482;1733809800;0.60256;0.68418;[[144, 14], [110, 44]];0.41509;0.75862;0.28571
11;0.05473;1733809808;0.61218;0.70596;[[146, 13], [108, 45]];0.42654;0.77586;0.29412
12;0.05486;1733809816;0.63141;0.70736;[[153, 15], [100, 44]];0.43350;0.74576;0.30556
13;0.05475;1733809827;0.59936;0.67051;[[142, 17], [108, 45]];0.41860;0.72581;0.29412
14;0.05479;1733809835;0.57051;0.67539;[[132, 13], [121, 46]];0.40708;0.77966;0.27545
15;0.05481;1733809844;0.60897;0.71250;[[143, 16], [106, 47]];0.43519;0.74603;0.30719
16;0.05474;1733809852;0.54808;0.64389;[[129, 18], [123, 42]];0.37333;0.70000;0.25455
17;0.05465;1733809860;0.61859;0.67631;[[142, 15], [104, 51]];0.46154;0.77273;0.32903
18;0.05465;1733809869;0.59615;0.71221;[[134, 9], [117, 52]];0.45217;0.85246;0.30769
19;0.05470;1733809877;0.60577;0.67519;[[149, 21], [102, 40]];0.39409;0.65574;0.28169
20;0.05467;1733809888;0.61538;0.73652;[[134, 10], [110, 58]];0.49153;0.85294;0.34524
21;0.05474;1733809896;0.63141;0.72396;[[151, 15], [100, 46]];0.44444;0.75410;0.31507
22;0.05461;1733809908;0.61859;0.72428;[[150, 12], [107, 43]];0.41951;0.78182;0.28667
23;0.05461;1733809916;0.58333;0.66676;[[138, 23], [107, 44]];0.40367;0.65672;0.29139
24;0.05464;1733809924;0.60897;0.70768;[[153, 20], [102, 37]];0.37755;0.64912;0.26619
25;0.05474;1733809932;0.58013;0.69404;[[131, 16], [115, 50]];0.43290;0.75758;0.30303
26;0.05474;1733809940;0.58654;0.68151;[[138, 17], [112, 45]];0.41096;0.72581;0.28662
27;0.05460;1733809951;0.58974;0.73082;[[138, 14], [114, 46]];0.41818;0.76667;0.28750
28;0.05470;1733809959;0.56410;0.61656;[[138, 12], [124, 38]];0.35849;0.76000;0.23457
29;0.05468;1733809967;0.59615;0.70625;[[137, 18], [108, 49]];0.43750;0.73134;0.31210
